AI Use Case,Commercial Examples,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"Calendly, Reclaim.AI",N,,
Logging and analyzing time spent on tasks using AI-powered time management tools.,"Timely, Asana",N,,
"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Otter.ai, Evernote, Fireflies",Y,Microsoft Teams Premium (with intelligent meeting recap),101-1000
Prioritizing and categorizing incoming emails using AI.,"SaneBox, OpenPaas",N,,
"Editing images, videos, or other public affairs materials using AI.","Adobe Firefly, Instagram Edits",N,,
Scheduling and managing social media posts using AI.,"ContentStudio, Sprout Social",N,,
"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT, Gemini",Y,Microsoft Copilot,1001-5000
Improving the quality of written communications using AI tools.,"Grammarly, ProWritingAid",N,,
Summarizing the key points of a lengthy report using AI.,"ChatGPT, Perplexity",Y,Microsoft Copilot,1-100
Creating visual representations of data sets for reports or presentations using AI.,"Tableau Agent, Julius AI",N,,
Using AI-assisted tools in word processors.,"Grammarly, Microsoft Copilot",N,,
Generating code using AI.,"Poolside, GitHub Copilot",N,,
Searching for agency information using a knowledge retrieval system.,"ChatGPT, Gemini",N,,
"Identifying and cataloging items in a storage room
using AI-driven image recognition.",Google Lens,N,,
"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon, Microsoft Defender",Y,Zscaler,1-100
Managing and prioritizing internal service or help desk tickets using AI.,"Supportbench, ServiceDesk Plus",Y,ServiceNow (Now Assist),101-1000
Curating news articles and updates based on user preferences using AI.,"MediaViz AI, Google News Brief",N,,
Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",Y,Native map applications on mobile devices,101-1000
Finding and booking travel accommodations using AI powered platforms.,"SAP Concur, Navan",N,,
Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Google Pixel",N,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
