AI Use Case,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,"M365 Copilot, Teams",1-100
Prioritizing and categorizing incoming emails using AI.,Y,M365 Copilot,1-100
"Generating first drafts of documents, briefing, or communication materials using AI.",Y,M365 Copilot,1-100
Improving the quality of written communications using AI tools.,Y,M365 Copilot,1-100
Summarizing the key points of a lengthy report using AI.,Y,M365 Copilot,1-100
Creating visual representations of data sets for reports or presentations using AI.,Y,M365 Copilot,1-100
Using AI-assisted tools in word processors,Y,M365 Copilot,1-100
Generating code using AI.,Y,M365 Copilot,1-100
Searching for agency information using a knowledge retrieval system.,Y,M365 Copilot,1-100
Curating news articles and updates based on user preferences using AI.,Y,Meltwater,1-100
Finding and booking travel accommodations using AI-powered platforms.,Y,SAP Concur,1-100
