agency,use_case_name,cohort,bureau_component,current_is_generative_ai,is_general_llm_access,ai_sophistication,ai_classification,ai_classification_normalized,stage_normalized,operational_date,tool_product_name,system_name,vendor_name,problem_statement,expected_benefits,system_outputs,fired_keywords
GSA,Cybersecurity Chatbot,over_contradict,,1,0,general_llm,Natural Language Processing (NLP),Natural Language Processing,pre_deployment,,,,,"The AI is intended to solve the challenges associated with manual, labor-intensive compliance documentation and assessment processes within GSA IT. Currently, there's a lack of effective LLM tools for compliance, and vendors are still developing solutions without definitive timelines. This leads to a persistent demand for compliance support that exceeds available supply and resources, hindering the ability to achieve the strongest possible security posture.",,,llm; chatbot
GSA,Improve ASSIST Application Help,over_contradict,,1,1,general_llm,Natural Language Processing (NLP),Natural Language Processing,pre_deployment,,,,,"The AI is intended to solve the problem of users needing to sift through multiple documents to find help for specific ASSIST system functionalities. It aims to modernize application help by providing context-driven answers through an AI chatbot, leveraging existing help documents in various formats like PDF, Word, and Excel.",,,chatbot
GSA,National Computerized Maintenance Management System (NCMMS) AI Chatbot,over_contradict,,1,0,general_llm,Natural Language Processing (NLP),Natural Language Processing,pre_deployment,,Microsoft Teams,,,"The AI is intended to solve the problem of providing user support within National Computerized Maintenance Management System (NCMMS) (IBM Maximo) for facility managers, contractors, and management teams, specifically by offering contextual support for the 20,000 work orders submitted daily.",,,chatbot
GSA,PBS AI Chatbot Domain Enhancements,over_contradict,,1,0,general_llm,Natural Language Processing (NLP),Natural Language Processing,pre_deployment,,,,,"The AI chatbot is intended to solve the problem of siloed information and time-consuming research across various Public Buildings Service (PBS) domains, including Portfolio Management, Facilities Management, Project Delivery, Acquisition, Client Strategy, Architecture & Engineering, and Strategy & Performance. By consolidating disparate data sources, policy documents, and internal guidance into a conversational, citation-rich assistant, the AI aims to streamline access to critical information and provide on-demand, data-driven insights for PBS personnel.",,,chatbot; assistant
GSA,Pricing Policy Chatbot,over_contradict,,1,0,general_llm,Natural Language Processing (NLP),Natural Language Processing,pilot,,,,,"The AI, specifically the Pricing Policy Chatbot, is intended to solve the problem of efficiently providing factually accurate, context-relevant, and consistent information related to Pricing Policy to internal stakeholders. By training a RAG-based internal chatbot on a dedicated corpus of knowledge, the system aims to streamline the process of information retrieval and ensure that personnel have immediate access to the necessary guidance for their duties, thereby reducing potential inconsistencies and improving operational efficiency.",,,chatbot
GSA,RPA Cloud Connection,over_contradict,,1,0,computer_vision,Computer Vision,Computer Vision,pre_deployment,,,,,"The AI is intended to modernize the Process Optimization and Automation (PO&A) architecture by integrating the RPA Test environment with a cloud-based AI environment. This aims to automate the extraction and processing of data from unstructured documents such as invoices, receipts, forms, and emails, which typically consume significant manual effort and time. The goal is to streamline document-based workflows and improve overall efficiency in operations.",,,workflow
GSA,ServiceNow Generic Ticket Classification,over_contradict,,1,0,classical_ml,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,pre_deployment,,ServiceNow Now Assist,,,Used to automatically route generic tickets to the correct group.,,,
GSA,ServiceNow Virtual Agent (Curie),over_contradict,,1,0,nlp_specific,Natural Language Processing (NLP),Natural Language Processing,deployed,,ServiceNow Now Assist,,,This use case is designed for use within GSA to allow employees to research IT issues presenting to their workstation or find a quick answer to an IT procedure.,,,agent
SBA,7(a) Purchases ML Model,over_contradict,OCA: Office of Capital Access,1,0,classical_ml,Machine Learning,Classical/Predictive Machine Learning,pre_deployment,01/01/2026 00:00:00,Custom In-House AI,"GPTS, E-Tran, FMS",In-house development,"Manual review of all 7(a) loan purchase applications is resource-intensive, but OCA needs to maintain quality control and minimize PIIA error rates.","Reduced manual review burden while maintaining or improving quality, faster processing times for legitimate applications, and optimized use of limited review staff resources.","By leveraging data analysis and machine learning, OCA can focus reviews on the applications that require manual review. This project will enable OCA to reduce the amount of effort expended on manual reviews without increasing PIIA error rates.",
SBA,AI Resolution Notes Generation,over_contradict,OCIO: Office of the Chief Information Officer,1,1,classical_ml,Intelligent Automation (AIOps),Other,pre_deployment,12/12/2025 00:00:00,ServiceNow Now Assist,ServiceNow Security Incident Response (SIR),"ServiceNow, Inc.","Formal closing notes for security incidents take analysts 15–30 minutes to manually draft at incident closure, diverting time from active threat response and creating documentation backlogs.","Automated drafting of formal resolution notes allows analysts to review and approve rather than write from scratch, accelerating incident closure and freeing analyst time for active defense.","AI-generated draft formal closing and resolution notes for completed security incidents, including structured documentation of root cause, actions taken, and resolution status for analyst review and approval.",
