use_case_id,query,top_url,found_useful,conclusion
7538,"DHS CBP ATAP Advanced Trade Analytics cloud AWS Azure GovCloud",https://www.dhs.gov/sites/default/files/2022-08/DHS%20(excluding%20USCG)%20Consolidated%20Major%20Information%20System%20List.pdf,yes,"CBP ACE/ATAP runs in CBP AWS Cloud East (CACE) — FedRAMP Moderate. ATAP is on AWS GovCloud."
8521,"DOJ DEA PenLink Intelligence Data Platform FedRAMP cloud",https://www.penlink.com/platform/,no,"PenLink PLX cloud posture not publicly disclosed. PenLink is a SaaS digital intelligence platform; DEA uses it. Likely FedRAMP-authorized SaaS but exact GovCloud not confirmed."
8702,"DOJ Relativity One Everlaw eDiscovery FedRAMP cloud",https://www.everlaw.com/federal-government/,yes,"Everlaw runs on AWS GovCloud (FedRAMP); RelativityOne Government runs on Azure Government (FedRAMP). DOJ row mentions both as candidate platforms — saas/fedramp_high either way."
8837,"DOT FHWA Turner-Fairbank PANDA Databricks cloud AWS Azure",https://www.fhwa.dot.gov/policyinformation/pubs/hpl24012/08.cfm,partial,"FHWA PANDA confirmed as a Databricks lab. DOT-wide Databricks rollout is on AWS GovCloud per Databricks-USDOT case study (per round-1 notes); inferring aws_govcloud."
9040,"FHFA FMAP Modeling Analytics Platform cloud Azure AWS",https://www.fhfa.gov/sites/default/files/2023-04/FMAP_White_Paper_v3.pdf,no,"FMAP white paper does not name cloud. FHFA is a small agency with Azure-leaning posture but unconfirmed; leaving unknown."
9446,"FDA Human Food Data Platform HFP cloud AWS Azure",https://aws.amazon.com/solutions/case-studies/us-food-and-drug-administration/,partial,"FDA uses both AWS GovCloud and Azure Gov. DICE is FDA-HFP. Vendors Trigent/Digitrix imply standard FDA cloud — FDA's largest analytic platforms (e.g., Tech Stack) are on AWS, but DICE platform not named. Marking saas/aws_govcloud-leaning unknown."
9504,"H2O.ai H2O GPTe FedRAMP NIH HHS cloud Azure AWS",https://h2o.ai/company/press-releases/h2oai-achieves-fedramp-in-process-designation-at-high-impact-level/,yes,"h2oGPTe is FedRAMP High in-process; integrates with AWS GovCloud and supports on-prem. NBSC is NIH Business System Cloud. NIH NBSC uses AWS GovCloud, so aws_govcloud."
10227,"SSA Informatica Enterprise Data Catalog CLAIRE cloud Azure AWS",https://www.informatica.com/about-us/news/news-releases/2019/05/20190522-informatica-announces-enterprise-data-catalog-integrations-with-microsoft-tableau-and-databricks.html,partial,"Informatica EDC deployable on AWS or Azure. SSA's primary cloud is AWS GovCloud (per public SSA IT modernization). Inferring aws_govcloud for SSA DGP/EDC."
10361,"OCC InfoAssist Treasury chatbot cloud Azure AWS GovCloud",https://devblogs.microsoft.com/azuregov/bots-in-azure-government/,no,"No direct evidence. OCC inherits Treasury Cloud which has both Azure Gov (Treasury M365/Copilot heavy) and AWS GovCloud. GenAI chatbots Treasury-wide are typically Azure Gov + Azure OpenAI. Inferring azure_gov."
10184,"SEC Semantic Layer Snowflake Databricks AWS GovCloud FedRAMP",https://www.databricks.com/company/newsroom/press-releases/databricks-achieves-fedramp-high-authorization-aws-govcloud,partial,"SEC's analytic stack is Snowflake + Databricks — both FedRAMP High on AWS GovCloud. SEC public posture is AWS-heavy. Inferring aws_govcloud."
10489,"USDA EDAPT Enterprise Data Analytics Platform cloud Cloudera",https://www.usda.gov/sites/default/files/documents/ocio-edapt-pia.pdf,yes,"EDAPT PIA confirms Cloudera (Navigator/Manager). Cloudera CDP at USDA is hosted on USDA-managed infrastructure (AgCloud / on-prem hybrid). EDAPT is on-prem-leaning. Marking on_prem."
