agency,use_case_name,bureau_component,current_scope,proposed_scope,proposed_is_enterprise_wide,confidence,reasoning,evidence_url
DHS,DHS-Chat,MGMT,bureau,enterprise_wide,1,high,"DHS's internal LLM chatbot built by the AI Corps; available to 19,000+ headquarters staff and piloted across all 10 operating components. Filed under MGMT only because MGMT/OCIO owns and operates it — classic owning-office misfiling.",https://fedscoop.com/chatgpt-meet-chatdhs-homeland-security-ai-bot/
DHS,LIGER Generative AI Toolkit,MGMT,bureau,bureau,0,high,"Both the inventory narrative and DHS's MGMT use-case page describe LIGER as a pilot for Federal Protective Service (FPS) users specifically — drafting SOWs, LE operations orders, FPS policies. Scoped to one MGMT component, not DHS-wide.",https://www.dhs.gov/ai/use-case-inventory/mgmt
DOE,AI Support Agent Chatbot,EE HQ - EE Headquarters (EE),bureau,bureau,0,high,Pre-deployment Tier-1 helpdesk chatbot for the Office of Energy Efficiency & Renewable Energy headquarters; no claim of DOE-wide availability.,
DOE,Agentic AI for cybersecurity change request reviews,NR HQ - Naval Reactors (NR),bureau,bureau,0,high,Naval Reactors program-office tool for cybersecurity document/change-request review within NR's own security workflows.,
DOE,Argonne Resilience AI Assistant ARAIA (nee CALLM),GDO HQ - Grid Deployment Office (GDO),bureau,bureau,0,medium,"Argonne-built research assistant filed under the Grid Deployment Office for grid-resilience/climate-projection work; pre-deployment, audience is GDO program staff, no department-wide availability claimed.",
DOE,Azure AI Search,NR HQ - Naval Reactors (NR),bureau,bureau,0,high,Search over Naval Reactors' own databases and data lakes; an NR internal knowledge-base capability.,
DOE,DOE Technical Standards,EHSS HQ - Office of Environment Health Safety and Security (EHSS),bureau,bureau,0,medium,EHSS using EnerGPT to improve the quality of the technical standards it authors — an HQ office using a tool for its own program work. No narrative or public evidence that this EnerGPT instance is offered DOE-wide.,
DOE,MAPPRITE,EHSS HQ - Office of Environment Health Safety and Security (EHSS),bureau,office,0,medium,"Narrative says the tool improves 'EHSS-51 business workflows' for safeguards-and-security support data — a single numbered office within EHSS, narrower than the EHSS bureau itself.",
DOE,Microsoft 365 Copilot,NR HQ - Naval Reactors (NR),bureau,bureau,0,high,"NR-scoped M365 Copilot rollout (pre-deployment); Naval Reactors runs its own IT enclave separate from DOE enterprise IT, so this is genuinely NR-only.",
DOE,PARSGPT,PM HQ -  Office of Project Management (PM),bureau,bureau,0,medium,Narrative says the value is 'an accessible way for PM Analysts to safely interact with LLM technology' for internal PM investigations/audits — audience is Office of Project Management analysts. No public evidence of DOE-wide access found in web search.,
DOE,Scripting,LM HQ - Office of Legacy Management (LM),bureau,office,0,high,CONCEDED to parallel pass: Gemini scripting for groundwater models in the Office of Legacy Management — office scope (sharper than bureau).,
DOE,ServiceNow Virtual Agent Natural Language Understanding,NR HQ - Naval Reactors (NR),bureau,bureau,0,high,IT service-management virtual agent inside Naval Reactors' own ServiceNow instance.,
DOE,SpyglassGPT Chat Assistant,NR HQ - Naval Reactors (NR),bureau,bureau,0,high,NR internal administrative chat assistant; deployed within the Naval Reactors enclave.,
DOI,Everlaw AI Assistant for Responsive Review,OCIO,bureau,bureau,0,medium,"Pilot used by OTAR and Departmental Offices for responsive-review document triage in discovery/historical-accounting matters — specific offices using the tool for their own review work, not an OCIO offering to all DOI staff.",
DOI,FBMS UPC Chatbot,OCIO,bureau,enterprise_wide,1,medium,"FBMS is DOI's single integrated finance/acquisition system spanning all bureaus, and the narrative says 'DOI staff that initiate purchase requests will interact with the UPC Chatbot' — a department-wide user population. OCIO is the operator, not the sole user. Pre-deployment, hence medium confidence.",https://www.doi.gov/privacy/doi-87-acquisition-goods-and-services-fbms
DOJ,AI Chatbot,Department of Justice / FBI,bureau,bureau,0,high,FBI policy-review chatbot; component-scoped per scope_detail and narrative ('Faster FBI operations').,
DOJ,AI Meeting Assistant,Department of Justice / CIV,bureau,bureau,0,high,Civil Division initiative for meeting transcription/summaries tied to CIV case files.,
DOJ,AI Personal Assistant,Department of Justice / CIV,bureau,bureau,0,high,Civil Division attorney productivity assistant for litigation project management.,
DOJ,AI-Enabled Briefing Assistant,Department of Justice / CIV,bureau,bureau,0,high,RAG brief-drafting tool for the Civil Division's Federal Programs Branch.,
DOJ,AI-Enabled Workflow Automation,Department of Justice / CIV,bureau,bureau,0,high,NLP triage/translation for the Civil Division's Office of Immigration Litigation backlog.,
DOJ,AI-powered Legal Research,Department of Justice / CIV,bureau,bureau,0,medium,"Narrative speaks of 'DOJ attorneys' generally, but this is a CIV-filed pre-deployment initiative distinct from the separate Department-Wide Westlaw row; treating as CIV-scoped.",
DOJ,ATR Generative Artificial Intelligence Test,Department of Justice / ATR,bureau,bureau,0,high,Perplexity pilot explicitly for Antitrust Division (ATR) personnel.,
DOJ,AWS Translate,Department of Justice / TAX,bureau,bureau,0,high,Machine translation for Tax Division evidence review.,
DOJ,Administrative Chatbot,Department of Justice / FBI,bureau,bureau,0,high,FBI internal admin Q&A chatbot.,
DOJ,Adobe Photoshop,Department of Justice / FBOP,bureau,bureau,0,high,Bureau of Prisons graphics work using Photoshop's embedded AI features.,
DOJ,Adobe Suite Applications,Department of Justice / ATF,bureau,bureau,0,high,ATF multimedia/FOIA processing using out-of-the-box Adobe AI features.,
DOJ,Audiate,Department of Justice / USMS,bureau,bureau,0,high,Text-to-speech for USMS training content creators.,
DOJ,Auditing Diversion Registrant Inventories of Controlled Substances,Department of Justice / DEA,bureau,bureau,0,high,DEA Diversion Investigator audit-automation tool.,
DOJ,Autonomous Drone Detection and Monitoring,Department of Justice / DEA,bureau,bureau,0,high,DEA drone-operations support.,
DOJ,Axon Evidence.com,Department of Justice / ATF,bureau,bureau,0,high,ATF body-worn-camera evidence management.,
DOJ,Axon Video Retention Solution (VRS) - Transcription,Department of Justice / USMS,bureau,bureau,0,high,USMS digital-evidence transcription.,
DOJ,Axon Video Retention Solution (VRS) - object recognition and redaction,Department of Justice / USMS,bureau,bureau,0,high,USMS video redaction tooling.,
DOJ,Azure AI Foundry Platform,Department of Justice / EOUSA,bureau,bureau,0,high,EOUSA secure-enclave GenAI pilot for US Attorneys' offices document review.,
DOJ,BriefCatch,Department of Justice / Department Wide,bureau,enterprise_wide,1,high,"Agency's own scope_detail is 'Department Wide'; deployed legal-writing/editing tool for DOJ attorneys across all components. Owning-office filing pattern, not a component tool.",
DOJ,Business Intelligence Tools,Department of Justice / Department wide,bureau,enterprise_wide,1,medium,Filed Department-wide; Tableau is the deployed BI/visualization platform offered across DOJ components. Marked medium because the day-to-day user base is analysts rather than literally the whole workforce.,
DOJ,Call Center Management and Service Delivery Support,Department of Justice / DEA,bureau,bureau,0,high,DEA Diversion Control registrant call-center automation.,
DOJ,ChatBot,Department of Justice / COPS,bureau,bureau,0,high,Public-facing Q&A bot on the COPS Office website.,
DOJ,Chatbot to Answer Diversion Registrants' Queries About Registration and Compliance Issues,Department of Justice / DEA,bureau,bureau,0,high,DEA registrant self-service chatbot.,
DOJ,Chatbot to Answer Internal Employee Policy Queries,Department of Justice / DEA,bureau,bureau,0,high,Policy Q&A chatbot for DEA employees specifically.,
DOJ,CoHost AI (Podcast hosting service feature),Department of Justice / FBOP,bureau,bureau,0,high,FBOP podcast production feature.,
DOJ,CoPilot,Department of Justice / Department wide,bureau,enterprise_wide,1,high,"Agency's own scope_detail is 'Department wide' with general-LLM-access flag; M365 Copilot calendaring/email/meeting features intended for DOJ users across components (pre-deployment, but the planned scope is the department).",
DOJ,Cocounsel AI,Department of Justice / EOUSA,bureau,bureau,0,high,EOUSA/USAO pilot of Thomson Reuters CoCounsel for document review.,
DOJ,Community Outreach Chatbot that Helps the Public Consume Prevention Resources,Department of Justice / DEA,bureau,bureau,0,high,DEA Community Outreach public-facing resource chatbot.,
DOJ,Conduit AI,Department of Justice / EOUSA,bureau,bureau,0,high,EOUSA GenAI pilot comparison platform.,
DOJ,Customer Service AI Agent/ChatBot,Department of Justice / EOIR,bureau,bureau,0,high,EOIR public website navigation chatbot.,
DOJ,Data & Analytics: Database Tools,Department of Justice / DEA,bureau,bureau,0,high,DEA investigative open-source data analysis.,
DOJ,Data & Analytics: Threat and Security Incident Monitoring,Department of Justice / DEA,bureau,bureau,0,high,DEA threat/situational-awareness analytics.,
DOJ,"Databricks (Forecasting, predictive analytics, data/statistical analysis)",Department of Justice / ATR,bureau,bureau,0,high,Antitrust Division economic-modeling platform.,
DOJ,Descript,Department of Justice / FBOP,bureau,bureau,0,high,FBOP audio/video sync for training and communications.,
DOJ,Enabling eDiscovery Platform AI,Department of Justice / CIV,bureau,bureau,0,high,"CIV eDiscovery modernization; narrative says it 'creates replicable capabilities other DOJ components can adopt' — i.e., it is not yet department-wide.",
DOJ,Evidence.com,Department of Justice / CRT,bureau,bureau,0,high,Civil Rights Division BWC transcription/redaction use.,
DOJ,FOIA Production Tools,Department of Justice / Department wide,bureau,enterprise_wide,1,medium,"Filed Department-wide; FOIAXpress AI features (classification, redaction, dedup) are deployed for FOIA processing across all DOJ components. Medium because the user population is FOIA professionals department-wide, not the entire workforce.",
DOJ,FinCEN Data Summarization,Department of Justice / JMD / OCDETF,bureau,bureau,0,high,OCDETF analyst SAR-summarization tool.,
DOJ,Financial and Cryptocurrency Analysis: Commercial Solution,Department of Justice / DEA,bureau,bureau,0,high,DEA intelligence-analyst financial analysis tool.,
DOJ,Financial and Cryptocurrency Analysis: Federal Partner,Department of Justice / DEA,bureau,bureau,0,high,DEA intelligence-analyst financial analysis tool (federal partner system).,
DOJ,Generation of Large Test Data Sets,Department of Justice / JMD / OCDETF,bureau,bureau,0,high,OCDETF/HSTF synthetic test-data generation.,
DOJ,Generative AI R&D Sandbox,Department of Justice / DEA,bureau,bureau,0,high,DEA-internal GenAI prototyping environment.,
DOJ,Hootsuite,Department of Justice / PAO,bureau,bureau,0,high,"Office of Public Affairs social-media scheduling; effectively a single office's tool (could arguably be 'office', kept at component level consistent with DOJ filing convention).",
DOJ,Intelligent Workflow Optimization,Department of Justice / EOIR,bureau,bureau,0,high,EOIR internal process-optimization initiative.,
DOJ,Internal Component-specific chatbot service,Department of Justice / OIG,bureau,bureau,0,high,Name says it: OIG component-specific chatbot in its own GCC-High tenancy.,
DOJ,Internal Finance ChatBot,Department of Justice / JMD,bureau,bureau,0,medium,"Support assistant for Workiva users; JMD operates DOJ-wide finance systems so the user base may cross components, but it is a narrow finance-system user population, not general availability. Kept bureau conservatively.",
DOJ,JAWS (Text-to-Speech Assistant for Accessibility),Department of Justice / TAX,bureau,bureau,0,high,Screen-reader accessibility tool as filed for Tax Division visually impaired personnel.,
DOJ,Knowledge retrieval and synthesis (Azure OpenAI Services),Department of Justice / ATR,bureau,bureau,0,high,Antitrust Division document-review pilot on Azure OpenAI.,
DOJ,"Language Translation,  Optical Character Recognition (OCR), Object Detection, Language Detection, Alert Noise Reduction",Department of Justice / FBI,bureau,bureau,0,high,FBI analytic capabilities bundle.,
DOJ,Machine Learning for Decision Support for DOJ MIS,Department of Justice / JMD / OCDETF,bureau,bureau,0,high,OCDETF/HSTF investigation-prioritization ML.,
DOJ,Managing Document Digital Signatures,Department of Justice / DEA,bureau,bureau,0,medium,DEA-filed workflow tool; narrative mentions collecting signatures 'from DOJ personnel' but the system is a DEA pre-deployment initiative. Kept bureau conservatively.,
DOJ,Mark43 Public Safety Records,Department of Justice / ATF,bureau,bureau,0,high,ATF law-enforcement records platform.,
DOJ,NetDocuments,Department of Justice / OPR,bureau,bureau,0,high,OPR's own document repository with predictive filing suggestions.,
DOJ,Palantir,Department of Justice / EOUSA,bureau,bureau,0,high,EOUSA case-information integration.,
DOJ,Palantir (via access to external state LE system),Department of Justice / ATF,bureau,bureau,0,high,ATF read-only access to a state partner's Palantir system via task force.,
DOJ,Pega GenAI,Department of Justice / USMS,bureau,bureau,0,high,USMS Pega developer productivity tool.,
DOJ,Policy Chatbot,Department of Justice / FBI,bureau,bureau,0,high,FBI policy chatbot pilot.,
DOJ,Qualtrics,Department of Justice / ENRD,bureau,bureau,0,high,ENRD survey/sentiment-analysis use.,
DOJ,ServiceNow,Department of Justice / Department Wide,bureau,enterprise_wide,1,high,Agency's own scope_detail is 'Department Wide'; deployed DOJ-wide IT helpdesk triage and virtual agents serving any DOJ employee submitting IT requests — an enterprise service operated centrally.,
DOJ,Speech to Text Managed Service - Voice Transcription to Text,Department of Justice / OIG,bureau,bureau,0,high,OIG internal transcription service.,
DOJ,Thomson Reuters Drafting Assistant Tool for MS Word,Department of Justice / FBOP,bureau,bureau,0,high,Retired FBOP use case; no evidence of broader scope.,
DOJ,Thomson Reuters Vigilant Vehicle Manager,Department of Justice / ATF,bureau,bureau,0,high,ATF license-plate-reader analysis service.,
DOJ,UFMS ChatBot,Department of Justice / JMD,bureau,bureau,0,medium,"UFMS is DOJ's department-wide financial system, so users span components, but the chatbot serves the UFMS finance-user population specifically, not the general workforce. Pre-deployment; kept bureau conservatively — flagged as a judgment call.",
DOJ,USTP AI Assistant,Department of Justice / USTP,bureau,bureau,0,high,US Trustee Program internal Copilot Studio learning/pilot effort.,
DOJ,UiPath OCR activity,Department of Justice / USMS,bureau,bureau,0,high,USMS RPA document-extraction automation.,
DOJ,Unmanned Aerial Systems (UAS),Department of Justice / ATF,bureau,bureau,0,high,ATF surveillance-video management platform.,
DOJ,Wellsaid,Department of Justice / FBOP,bureau,bureau,0,high,FBOP text-to-speech for training/communications.,
DOJ,Westlaw (AI assisted legal research),Department of Justice / Department Wide,bureau,enterprise_wide,1,high,Agency's own scope_detail is 'Department Wide'; deployed Westlaw AI legal research available to attorneys across all DOJ components — a centrally provided enterprise subscription.,
DOJ,Westlaw (People Search),Department of Justice / PARDON,bureau,bureau,0,high,Office of the Pardon Attorney clemency-applicant data lookups.,
DOJ,Writing assistant,Department of Justice / FBI,bureau,bureau,0,high,FBI internal writing-quality assistant.,
