internal_use_case_id,source_use_case_id,agency,use_case_name,ai_classification,vendor_name,heuristic_label,llm_label,llm_confidence,llm_reasoning,applied
7405,DHS-2705,DHS,Smartphone Information Forensics Triage,Natural Language Processing (NLP),,1,,,,0
7417,DHS-194,DHS,AI Enabled Autonomous Underwater Vehicle,Computer Vision,,0,,,,0
7432,DHS-2375,DHS,Thermal Power Generation with Geoseismic IoI Detection and Classification,Classical/Predictive Machine Learning,,0,,,,0
7450,DHS-2709,DHS,Spend Plan Analysis GPT,Agentic-AI,,0,,,,0
7493,DHS-2572,DHS,Acoustic Signature AI for Gunshot Detection,Classical/Predictive Machine Learning,Invariant Corporation,0,,,,0
7526,DHS-2577,DHS,Mobile Fortify,Computer Vision,NEC is the third‑party vendor CBP uses. ICE accesses these capabilities through CBP and does not contract directly with NEC.,0,,,,0
7541,DHS-2383,DHS,Unmanned Aircraft Collision Avoidance,Computer Vision,Skydio and Xtender,0,,,,0
7546,DHS-37,DHS,Automated Item of Interest Detection,Classical/Predictive Machine Learning,Matroid,0,,,,0
7562,DHS-14,DHS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check,Classical/Predictive Machine Learning,Pluribus Digital,0,,,,0
7600,DHS-2522,DHS,idiCORE Subscriptions,Natural Language Processing (NLP),idiCORE,0,,,,0
7628,DHS-368,DHS,Commercial Generative AI for Text Generation (AI Chatbot),,,1,,,,0
7629,DHS-369,DHS,Commercial Generative AI for Image Generation,,,1,,,,0
7630,DHS-373,DHS,Commercial Generative AI for Code Generation,,,1,,,,0
7635,DHS-254,DHS,Planning Assistant for Resilient Communities (PARC),,,0,,,,0
7643,DOC-53,DOC,GitHub Copilot for Code Modernization,,,1,,,,0
7654,DOC-64,DOC,Dr. NAICS LLM,,,1,,,,0
7664,DOC-75,DOC,Global Business Navigator Chatbot,,,1,,,,0
7665,DOC-76,DOC,Generative AI Tools Pilot - Global Markets,,,1,,,,0
7666,DOC-77,DOC,Generative AI Tools Pilot - Enterprise & Solutions Architecture,,,1,,,,0
7667,DOC-3,DOC,ChatGPT Enterprise,,,1,,,,0
7672,DOC-9,DOC,Anthropic - Claude For Government,,,1,,,,0
7673,DOC-16,DOC,Community-based Messaging with LLM,,,1,,,,0
7675,DOC-18,DOC,Draft Fronts for Surface Analysis,,,1,,,,0
7697,DOC-41,DOC,Streamlining Fisheries DevSecOps with Gemini Code Assist,,,1,,,,0
7737,DOC-110,DOC,Robotic microscopes and machine learning algorithms remotely and autonomously track lower trophic levels for improved ecosystem monitoring and assessment,,,0,,,,0
7739,DOC-112,DOC,Integrating AI into AUV image analysis workflow,,,0,,,,0
7790,DOC-161,DOC,Optimization of highly-concurrent workflow task management systems based on anomaly detection using non-intrusive workflow performance data gathered via the GFDL EPMT,,,0,,,,0
7799,DOC-170,DOC,AI-powered Chatbot for Federal Funding Assistance (Grants) Guidance Dissemination,,,1,,,,0
