"use_case_id","entry_kind","agency","use_case_name","current_product_id","current_product_name","vendor_name","system_name","problem_statement","expected_benefits","system_outputs","training_data_description","regex_hint","proposed_action","proposed_product_id","proposed_product_name","confidence","evidence_quote","notes"
"128728","use_case","DHS","Cybersecurity Threat Management, Detection, and Response","19061","Splunk","Illumio; AttackIQ; Cofense; Splunk; Crowdstrike; Polarity","Xploitation Platform Leveraging Offensive Information Technology, Phishing Defense Solution, Audit Log Management Solution (ALMS), Endpoint Detection and Response, EMVEC","This use case intends to solve the problem of detecting and responding to cybersecurity threats in a timely manner.","These AI capabilities provide security analysts with modern tools to identify and respond to threats much more quickly than previously possible, minimizing potential damage to systems and data.","CD&I uses several AI-enabled cybersecurity tools to analyze this data. Machine learning (ML) models, such as classification and regression models, are used to analyze historical data and detect emerging threats through pattern recognition. Other ML capabilities include continuous monitoring of ICE cybersecurity data and the algorithmic identification of real-time cyber threats. This includes recognizing phishing patterns, malware signatures, or abnormal network traffic patterns across a variety of tools. Additionally, CD&I is in the process of integrating its open-source intelligence cybersecurity threat analysis platform with an LLM. This integration will allow platform users to summarize open-source intelligence on cybersecurity threats and more easily research and respond to potential cybersecurity events.","The cybersecurity solutions use commercially available large language models that have been trained on the public domain by their providers. There was no additional training using agency data on top of what is available in the models’ base set of capabilities. During operation, the AI models interact with ICE production data from multiple sources, including data from Microsoft Defender for Office (Polarity) and suspected malicious reported emails from ICE personnel (Triage).","","delete_or_inferred","","","medium","Illumio; AttackIQ; Cofense; Splunk; Crowdstrike; Polarity","Splunk listed generically among many cybersecurity tools; no specific Splunk product named."
"129066","use_case","DOE","Machine Learning components within Splunk Enterprise Security","19061","Splunk","Splunk","","Clustering and Classification events","Improved automation of security threat hunting","Prediction of expected norms of log events","Security Log Events","","delete_or_inferred","","","high","Machine Learning components within Splunk Enterprise Security","Would relink to 'Splunk Enterprise Security' but not in catalog; flag for follow-up product creation."
"129663","use_case","DOJ","Cybersecurity Defense Tools","19061","Splunk","CrowdStrike, Zscaler, Splunk, Lookout, Palo Alto Networks, and Cisco Secure Network Analytics","Redacted for cybersecurity purposes.","Addresses manual process of detecting unknown cybersecurity threats.","Certain tools are used Department-wide to provide endpoint detection; threat intelligence, analysis, and response; and related services. 

These tools help the Department more quickly identify and respond to threats and indicators of compromise from systems.","Recommendations related to potential IT security threats.","The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.","","delete_or_inferred","","","medium","CrowdStrike, Zscaler, Splunk, Lookout, Palo Alto Networks, and Cisco Secure Network Analytics","Splunk named generically in multi-vendor cyber tool list; no specific Splunk product."
"130611","use_case","HHS","Splunk IT System Monitoring Software","19061","Splunk","","","","","","","","delete_or_inferred","","","medium","Splunk IT System Monitoring Software","Generic 'Splunk IT System Monitoring'; would relink to a 'Splunk IT Service Intelligence' or 'Splunk Observability' product but neither in catalog."
"131734","use_case","VA","CSOC AI Analyst Accelerator (Andesite AI)","19061","Splunk","","","VA Cybersecurity Operations Center (CSOC) requires new tools and capabilities to meet increasing demands for monitoring and securing the VA’s complex information technology (IT) environment, which currently involve time-consuming and manual processes.","Andesite AI has the potential to be a significant part of VA’s overall defensive security strategy which will provide comprehensive visibility by enabling the cybersecurity team to transform and accelerate investigations, connect data silos, and decrease time to response. Hosted in VAEC AWS, Andesite AI will connect via API to several endpoints such as Splunk, SOAR, ThreatQ and the VA Network to seamlessly integrate information to assist Cybersecurity Analysts with their investigations.","Andesite AI will submit prompts and retrieve results from AWS Bedrock (via Claude Sonnet) to help review potential incidents and perform investigations. The inputs of the model will include security event data from Splunk and Microsoft Sentinel used by CSOC analysts such as vulnerability data, indicators of compromise, security and event logs, and other threat intelligence data. Outputs of the model will include descriptions of potential incidents/vulnerabilities, suggestions on remediation and prioritization, and contextual information and correlation of various security event data. The users of Andesite AI will be 20 VA CSOC analysts.","","soar","delete_or_inferred","","","medium","connect via API to several endpoints such as Splunk, SOAR, ThreatQ and the VA Network","Andesite AI integrates with Splunk + SOAR generically; no specific Splunk product named. Primary product is Andesite/AWS Bedrock."
"129272","use_case","DOE","LexisNexis","19365","LexisNexis","Nexus","Hanford Accreditation Boundary (HAB)","searching legal database for case law","Better case law material for legal team","search results to input inquiries","pretrained ai with access to legal database","","delete_or_inferred","","","medium","searching legal database for case law","Generic LexisNexis legal database search; no specific product (Lexis+ AI / Accurint / etc) named."
"129603","use_case","DOJ","LexisNexis Accurint","19365","LexisNexis","LexisNexis","Redacted for cybersecurity purposes.","The purpose of the AI use case in LexisNexis Accurint is to merge and analyze an array of public and proprietary records to build a clearer picture of individuals and entities. By automating data integration, filtering, and pattern recognition, it expedites the identification of relevant subjects and connections. This advanced approach reduces manual searching, enhances accuracy in linking data points, and strategically directs focus toward high-value leads, improving overall investigative efficiency and decision-making.","The expected benefit is accelerated ID of important figures/relationships, skipping disjointed dataset searches.","The AI features compile overviews, note aliases, highlight patterns, giving clear reference points for exploration.","The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.","accurint","delete_or_inferred","","","high","The purpose of the AI use case in LexisNexis Accurint is to merge and analyze an array of public and proprietary records","Would relink to 'Accurint' but not in catalog; flag for follow-up product creation."
"129604","use_case","DOJ","LexisNexis Babel Street","19365","LexisNexis","","","","","","","","delete_or_inferred","","","medium","LexisNexis Babel Street","Source names Babel Street (separate vendor; 'Babel Street Babel' exists as id 19287). Currently linked to LexisNexis placeholder — likely tagging error. Do not relink to LexisNexis."
"129666","use_case","DOJ","LexisNexis (AI assisted legal research)","19365","LexisNexis","LexisNexis","Redacted for cybersecurity purposes.","Addresses manual process of conducting legal research.","Improves accuracy and efficiency of legal research.","Recommends caselaw and other legal materials (such as statutes, regulations, and scholarly articles) and, in some circumstances, an overview of the law in response to queries.","The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.","","relink","19052","Lexis+ AI","high","LexisNexis (AI assisted legal research)","Use case name explicitly says AI-assisted legal research; Lexis+ AI is the matching catalog product."
"129756","use_case","DOJ","Deposition Transcript Management","19365","LexisNexis","LexisNexis","Redacted for cybersecurity purposes.","Assists with marking up deposition transcripts and video","More efficient organization, annotation, and display of transcripts and deposition video","Annotated deposition video and transcripts","The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.","","delete_or_inferred","","","medium","Assists with marking up deposition transcripts and video","LexisNexis deposition transcript tool (likely TextMap/CaseMap); no specific catalog product matches."
"130119","use_case","FHFA","LexisNexis","19365","LexisNexis","LexisNexis","N/A","Generative AI-assisted legal research tool","Efficiency","LexisNexis uses generative AI to search for and summarize legal information, resulting in more efficient legal work for FHFA.","This is a subscription service from a third-party vendor and confidential business information of this nature is not available.","","relink","19052","Lexis+ AI","high","LexisNexis uses generative AI to search for and summarize legal information","Generative AI legal research = Lexis+ AI."
"131373","use_case","State","Diplomatic Security - Legal Instruction Unit","19365","LexisNexis","LexisNexis, ChatGPT","CFA PCFS","Insufficient personnel and resources available to create multimedia, conduct necessary research, and develop required curriculum.","Cost savings due to increased efficiency and decreased contracts/personnel to meet the needs of the Department.","The various AI systems will be used to synthesize information and provide recommendations on curriculum content, such as scenario development, multimedia content, and character script recommendations.","Publicly available (legal research and related materials).","","delete_or_inferred","","","medium","LexisNexis, ChatGPT","LexisNexis named generically alongside ChatGPT for curriculum/legal research; no specific product."
