agency_abbr,agency_name,agency_type,issuing_office,document_type,document_title,publication_year,publication_date,pages,issuing_memo,superseded,is_public,url,local_path,access_status,date_accessed,notes
CFTC,Commodity Futures Trading Commission,Independent,Commodity Futures Trading Commission,M-25-21 Compliance Plan,Commodity Futures Trading Commission Compliance Plan for OMB Memorandum M-25-21,2025,2025-09,2,M-25-21,no,yes,https://www.cftc.gov/media/12726/CFTC-AIcomplianceplan/download,documents/CFTC/CFTC__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,"Prepared by Janaka Perera, CAIO. Linked from cftc.gov/ai. CFTC also issued a Dec 2024 Staff Advisory on AI in regulated markets, but that is external regulatory guidance for registrants, not an internal agency AI policy (excluded)."
CSOSA,Court Services and Offender Supervision Agency,Independent,CSOSA,Generative AI Policy,CSOSA Policy Statement 2040: Artificial Intelligence (AI),2025,2025-12-20,11,none,no,yes,https://www.csosa.gov/wp-content/uploads/2025/12/PS-2040-Artificial-Intelligence-AI.pdf,documents/CSOSA/CSOSA__ps-2040-artificial-intelligence__2025.pdf,Downloaded,2026-05-21,"CSOSA agency AI policy statement (PS-2040), effective 2025-12-20, review due 2027-12-20; acceptable-use policy covering employees, interns, and contractors."
CSOSA,Court Services and Offender Supervision Agency,Independent,CSOSA (Chief AI Officer),M-25-21 Compliance Plan,CSOSA Compliance Plan for OMB Memorandum M-25-21,2025,2025-10,7,M-25-21,no,yes,https://www.csosa.gov/wp-content/uploads/2025/10/csosa-m-25-21-compliance-plan-Issued.pdf,documents/CSOSA/CSOSA__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,CSOSA M-25-21 compliance plan; year/month 2025-10 inferred from URL path /2025/10/.
DHS,Department of Homeland Security,Cabinet,DHS Office of the Chief Information Officer / Chief AI Officer,M-25-21 AI Strategy,DHS Artificial Intelligence (AI) Strategy for OMB Memorandum M-25-21,2025,2025-09-26,10,M-25-21,no,yes,https://www.dhs.gov/sites/default/files/2025-09/25_0926_cio_dhs_ai_strategy_for_omb_m-25-21_508.pdf,documents/DHS/DHS__m-25-21-ai-strategy__2025.pdf,Downloaded,2026-05-21,Three-year AI strategy responding to M-25-21 180-day requirement. Date 2025-09-26 from filename.
DHS,Department of Homeland Security,Cabinet,DHS Office of the Chief Information Officer / Chief AI Officer,M-25-21 Compliance Plan,Accelerating Federal Use of Artificial Intelligence (AI): DHS Compliance Plan for OMB Memorandum M-25-21,2025,2025-09-26,12,M-25-21,no,yes,https://www.dhs.gov/sites/default/files/2025-09/25_0926_cio_dhs_compliance_plan_for_omb_m-25-21_508.pdf,documents/DHS/DHS__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,DHS CIO serves as Chief AI Officer; AI Governance Board convened July 2 2025. Date from filename.
DHS,Department of Homeland Security,Cabinet,DHS Office of the Chief Information Officer,Other Department AI Policy / Guidance,DHS Directive 139-08: Artificial Intelligence Use and Acquisition,2025,2025-01-16,10,none,no,yes,https://www.dhs.gov/sites/default/files/2025-01/25_0116_CIO_DHS-Directive-139-08-508.pdf,documents/DHS/DHS__directive-139-08-ai-use-acquisition__2025.pdf,Downloaded,2026-05-21,"Department directive establishing AI principles, prohibited uses, and acquisition governance. Date 2025-01-16 from filename."
DHS,Department of Homeland Security,Cabinet,DHS Office of the Chief Information Officer,Other Department AI Policy / Guidance,DHS Playbook for Public Sector Generative Artificial Intelligence Deployment,2025,2025-01-06,20,none,no,yes,https://www.dhs.gov/sites/default/files/2025-01/25_0106_ocio_dhs-playbook-for-public-sector-generative-artificial-intelligence-deployment-508-signed.pdf,documents/DHS/DHS__genai-public-sector-playbook__2025.pdf,Downloaded,2026-05-21,Guidance/playbook for responsible public-sector GenAI deployment; not an internal acceptable-use policy but a formal genAI guidance document. Date from filename.
DOC,Department of Commerce,Cabinet,Department of Commerce,M-25-21 AI Strategy,Commerce AI Strategy Plan for OMB Memorandum M-25-21,2025,2025-09,,M-25-21,no,yes,https://www.commerce.gov/sites/default/files/2025-09/DOC-AI-Strategy-Plan-for-OMB-Memorandum-M-25-21.pdf,,Link only,2026-05-21,Document is public but commerce.gov is behind Cloudflare JS challenge; curl/WebFetch blocked. URL from commerce.gov/ai. No Wayback snapshot exists.
DoD,Department of Defense,Cabinet,Office of the Assistant to the Secretary of Defense for Public Affairs,Other Department AI Policy / Guidance,DoD Instruction 5400.19: Public Affairs Use of Artificial Intelligence,2025,,21,M-25-21,no,yes,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/540019p.PDF,documents/DoD/DoD__dodi-5400.19-public-affairs-ai__2025.pdf,Downloaded,2026-05-21,DoD Instruction governing public-affairs use of AI; references OMB M-25-21 and M-25-22. Publication year 2025 inferred from issuance; downloaded from esd.whs.mil with cookie jar.
DoD,Department of Defense,Cabinet,Office of the Secretary of War (CDAO),M-25-21 AI Strategy,Artificial Intelligence Strategy for the Department of War,2026,2026-01-09,6,M-25-21,no,yes,https://media.defense.gov/2026/Jan/12/2003855671/-1/-1/0/ARTIFICIAL-INTELLIGENCE-STRATEGY-FOR-THE-DEPARTMENT-OF-WAR.PDF,documents/DoD/DoD__ai-strategy-department-of-war__2026.pdf,Downloaded,2026-05-21,"DoD/DoW is exempt from M-25-21 but published its own AI Strategy memo (signed Jan 9, 2026 by the Secretary of War) operationalizing EO 14179; downloaded from media.defense.gov (Akamai-protected, succeeded with cookie jar). Carahsoft also mirrors a guidance summary."
