"use_case_id","entry_kind","agency","use_case_name","current_product_id","current_product_name","vendor_name","system_name","problem_statement","expected_benefits","system_outputs","training_data_description","regex_hint","proposed_action","proposed_product_id","proposed_product_name","confidence","evidence_quote","notes"
"128713","use_case","DHS","GenAI for Document Summarization and Content Generation","19802","Google","Meta, OpenAI, Google, Anthropic","","Workforce enablement and efficiency through the implementation of Generative AI / Large Language Models (LLM)","Improving Operational Efficiency: Automating information retrieval, reducing manual review time, and streamlining workflows will lead to significant time savings and increased productivity for CBP personnel. This translates to cost savings and allows agents to focus on higher-priority tasks. 

Enhancing Decision-Making: Providing quick and accurate access to relevant information will improve the quality and consistency of decisions across the agency.","Generative LLM applications deployed in a stand alone capacity or embedded in existing systems that will allow users to upload, search, summarize documents, conduct advanced searches, and identify similar language in documents and receive natural language-style outputs in response to their prompts.","The commercial LLMs used for this use case were trained using a diverse range of publicly available data, including text from books, articles, websites, and other sources and data types.","","delete_or_inferred","19802","Google","inferred","Meta, OpenAI, Google, Anthropic","Vendor list lumps Google with others generically; no specific Google product named. Downgrade to inferred."
"128810","use_case","DOC","Google Public Sector NLP, Classification, Text Mining","19802","Google","","","","","","","","relink","19333","Google Cloud Platform","medium","Google Public Sector NLP, Classification, Text Mining","Use case name suggests GCP-based NLP services; no specific product (Vertex/Gemini) named in source fields."
"128976","use_case","DOC","LLM support for NIST research (Google Vertex)","19802","Google","","","","","","","","relink","19337","Google Vertex AI","high","LLM support for NIST research (Google Vertex)","Use case name explicitly says 'Google Vertex'."
"129059","use_case","DOE","EnerGPT","19802","Google","Accenture Federal Services, Google","OCIO Google Cloud Platform","Improves efficiency of DOE staff.","EnerGPT aims to enhance user productivity and reduce time spent on redundant tasks .","EnerGPT generates answers to user questions.","Google's Gemini familiy of models.","gemini","relink","19043","Gemini","high","Google's Gemini familiy of models.","training_data_description names Gemini family of models."
"129080","use_case","DOE","PDF Analyzer","19802","Google","Accenture Federal Services, Google","OCIO Google Cloud Platform","Summarization and knowledge retrieval.","PDF Analyzer will enable teams across the DOE to upload large PDFs and ask questions and generate content related to those PDFs.","PDF Analyzer will output the answers to a user's question along with the relevant sections of the PDF that the answer is based on.","Google's Gemini family of models.","gemini","relink","19043","Gemini","high","Google's Gemini family of models.","training_data_description names Gemini family."
"129093","use_case","DOE","SmartPD Creator","19802","Google","Accenture Federal Services, Google","OCIO Google Cloud Platform","It improves the speed and accuracy for DOE employees to create position descriptions.","The time to hire much needed resources will be reduced and the process will be greatly improved.","Position descriptions for federal roles.","Google's Gemini familiy of models.","gemini","relink","19043","Gemini","high","Google's Gemini familiy of models.","training_data_description names Gemini family."
"129151","use_case","DOE","Google Chrome Generative AI","19802","Google","Google","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19332","Google Chrome Generative AI","high","Google Chrome Generative AI","Use case name is the exact catalog product."
"129152","use_case","DOE","PWS Builder","19802","Google","Accenture Federal Services, Google","OCIO Google Cloud Platform","Improved speed to create a performance work statement document.","DOE employees would be able to quickly and accurately draft performance work statements for projects both net-new and in-flight. This would greatly reduce the time needed to get a project up and running.","Performance work statements.","Google's Gemini family of models.","gemini","relink","19043","Gemini","high","Google's Gemini family of models.","training_data_description names Gemini family."
"129166","use_case","DOE","EnerGPT Canvas","19802","Google","Accenture Federal Services, Google","OCIO Google Cloud Platform","Improves the speed and accuracy DOE employees are able to draft, edit, and produce content.","Allowing DOE users to edit their projects using AI in one single platform.","New content, edits to existing content, code, etc.","Google's Gemini family of models.","gemini","relink","19043","Gemini","high","Google's Gemini family of models.","training_data_description names Gemini family."
"129176","use_case","DOE","Google Agentspace / NotebookLM","19802","Google","Google","R&D User","Unify enterprise data and enable large-scale agent deployment with Google Agentspace.","Improves enterprise knowledge use and team productivity at scale.","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","No","","relink","19331","Google Agentspace","high","Unify enterprise data and enable large-scale agent deployment with Google Agentspace.","Problem statement explicitly names Google Agentspace; use_case_name mentions Agentspace/NotebookLM."
