agency,use_case_name,verdict,final_is_general_llm_access,confidence,reasoning
DOI,VoiceAtlas no-code chatbot framework,confirm_proposed,0,medium,"Platform for non-technical staff to build scoped chatbots ('Chatbots with guardrails and knowledge bases that can be created and maintained by non-technical employees') -- a chatbot-authoring framework, not arbitrary-prompt general LLM access for staff."
DOI,Refining Flood Risk Predictions in Hawai?i with Generative Machine Learning,confirm_proposed,0,high,"Scientific modeling pipeline: 'create high-resolution (1km) daily and sub-daily precipitation maps for the Hawaiian Islands' -- generative ML for downscaling, no chat interface at all."
DOI,LLM-Assisted Volcanic Alert Monitoring,confirm_proposed,0,high,"Automated data-collection pipeline: 'automate the monitoring of volcanic alert levels from the public websites of our partner observatories' -- fixed workflow, not staff chat access."
DOI,FBMS UPC Chatbot,confirm_proposed,0,high,"Single-workflow assistant: 'the correct UPC code is used... on the Purchase Request in FBMS' -- narrow purchase-request classification helper, not general LLM access."
DOI,Assessment Inventory and Monitoring (AIM) Chatbot,confirm_proposed,0,high,"RAG chatbot scoped to one program's corpus: 'summarize documents and tools via metadata and embedded PDFs' for AIM monitoring resources -- one dataset, one user community."
DOI,Document Review Platform Generative AI,confirm_proposed,0,high,"FOIA document-review workflow: 'FOIA Request Processing is the resource intensive step... that would benefit from AI assistance' -- document-processing pipeline, not general assistant."
DOI,ePermits: Chatbot Implementation and Permit Application Wizard Tools,confirm_proposed,0,high,"Applicant-facing permit helper: 'Dynamic Form Assistance... Escalation to Human Agent' inside ePermits -- customer-service chatbot over one system, not internal general LLM."
DOL,Audio Transcription,confirm_proposed,0,high,"Speech-to-text pipeline: 'Transcription of speech to text for records keeping' of claim voicemails -- fixed workflow, no arbitrary prompting."
DOL,Website Chatbot Assistant,confirm_proposed,0,medium,"Retired entry with empty narrative; name 'Website Chatbot Assistant' (OTAA) indicates a public-facing site widget, which the decision rule excludes."
DOL,Automatic Document Processing,confirm_proposed,0,high,"Forms-extraction pipeline: 'Automatic processing of continuation of benefits form to extract pre-defined selection boxes' -- document processing, not chat."
DOL,Workforce Recruitment Program (WRP) Website Chatbot Assistant,confirm_proposed,0,high,"Public-facing FAQ bot on Amazon Lex: 'helps address routine questions... in their program inbox, wrp@dol.gov' for WRP applicants -- narrow customer-service chatbot."
DOL,ETA Grants Monitoring Tool through Doc Explorer,confirm_proposed,0,high,"Single-workflow grant-review tool: 'Automates review of grant documents to detect anomalies, delays, and compliance issues' -- scoped Doc Explorer integration."
DOT,Tech Ops LLM Document Search,confirm_proposed,0,high,"Per-corpus document search for one workforce: answers 'drawn from a central Knowledge Library' of Technical Instruction Manuals for Tech-Ops personnel -- scoped RAG, not general LLM."
DOT,Human Resources Policy Manual (HRPM) LLM Document Search,confirm_proposed,0,high,"Document search over one policy corpus: 'outputs HR policy in response to questions' -- single-corpus HR policy lookup, not arbitrary-prompt assistant."
DOT,Financials LLM Document Search,confirm_proposed,0,high,"Scoped document search: 'financial data retrieved from the text resources' for budget/finance staff -- one corpus, one workflow."
DOT,Civil Aviation Registry Electronic Services (CARES) LLM Document Search,confirm_proposed,0,high,"Single-system document Q&A: Azure chatbot to 'scan thousands of pages' of CARES business requirements -- one dataset, one team's workflow."
DOT,Financial Policy LLM Document Search,confirm_proposed,0,high,"Per-corpus policy search: 'will search a variety of financial policy documents to answer users' financial policy questions' with citations -- scoped document search, not general access."
DOT,Spectrum Assignment & Engineering Team LLM Document Search,confirm_proposed,0,high,Narrow help assistant for one team's coordination systems: outputs are 'Responses to help questions' for spectrum-assignment users -- scoped to one workflow.
DOT,National Program Office LLM Document Search,confirm_proposed,0,high,Answers limited to one tool's questions: 'provide answers to Element Design Data collection Tool (ED DCT) questions' -- single-workflow integration.
DOT,FAA Orders and associated supplemental change notices LLM Document Search,confirm_proposed,0,high,Citation lookup over a fixed corpus: 'streamline the retrieval of information from multiple FAA Orders and change notices' -- per-corpus document search.
DOT,AI-Assisted Legal Research,confirm_proposed,0,high,"Legal-research domain tool: 'summarized overview or draft... supported by case law that is already within the database' -- one dataset, one user group (FAA counsel)."
ED,Speech to Text Meeting Transcription,confirm_proposed,0,high,"Otter.AI transcription: 'real-time transcription and collaboration tools for meetings' -- speech-to-text service, not an arbitrary-prompt assistant."
ED,Customer Service Support,confirm_proposed,0,high,Narrow agent-assist bot: 'RAG Chatbot supporting customer service reps... using details from a provided document... while avoiding topics outside the document's scope' -- explicitly scoped to one dataset.
EPA,AI Assistants in Esri Tools,confirm_proposed,0,high,"Embedded copilot inside one app: assistants in Esri tools producing 'code, analysis, suggested tool use' for GIS work -- single-application copilot, excluded by rule."
FDIC,Generative Artificial Intelligence (AI) for Legal Research,confirm_proposed,0,high,"Commercial legal-research feature: 'generative AI capabilities in Westlaw' (plus Lexis, Bloomberg Law) -- domain research tool over a legal dataset, not general LLM access."
FDIC,CFOO Admin Chatbot,confirm_proposed,0,high,RASA intent bot over a fixed corpus: 'Compiling data from internal FDIC website and targeted documents to answer questions about CFOO admin' -- narrow internal FAQ bot.
FDIC,CFOO Travel Chatbot,confirm_proposed,0,high,"Same RASA pattern scoped to travel: answers 'questions about FDIC travel including directives, policy, training, limits' -- single-dataset FAQ bot."
FDIC,Data Extraction from Contract PDF Files,confirm_proposed,0,high,Document-processing pipeline: 'extract specific information (dates) from an electronic form' producing a compliance spreadsheet -- no chat interface.
FERC,Gas Blanket Certificates (Permitting),confirm_proposed,0,high,"Filing-processing pipeline: 'streamline the classification, tracking, and summarization of filings and issuances related to blanket certificates' -- fixed regulatory workflow."
FERC,AI Enabled Assistant Legal Research,confirm_proposed,0,high,"Thomson Reuters legal workflow tool: outputs 'legal research summaries, contract reviews, document annotations' -- legal-domain product for legal staff, not general staff LLM access."
FHFA,Virtual Acquisition Office (VAO) Ally,confirm_proposed,0,high,Vendor-embedded domain assistant: answers 'acquisition-related policy/guidance questions... within the overall web-based VAO subscription' -- scoped to one product's corpus.
FHFA,"Analytics,, Search, Queries and LLM integration for data management on Oracle",confirm_proposed,0,medium,"Retired with empty narrative; name 'LLM integration for data management on Oracle' describes a single-system database integration, not staff-facing general chat."
FHFA,Mathematical formula transcription using Commonlook Online,confirm_proposed,0,high,Accessibility conversion tool: 'translate complex mathematical formula into plain language for publicly released documents' -- fixed document workflow.
FRB,Virtual Benefits Assistant,confirm_proposed,0,high,Site-navigation FAQ bot: 'designed to answer questions on how to navigate the site and answer general questions' about benefits with escalation to a representative -- narrow benefits-portal widget.
FRTIB,Sumtotal Chatbot,confirm_proposed,0,high,Embedded feature of the SumTotal training platform: 'trainings and simulations for difficult conversations' -- single-app copilot for training scenarios.
FTC,DNC IVR Audio File Transcription,confirm_proposed,0,high,"Transcription pipeline (retired): 'Transcribed DNC IVR... Audio file and save the text to database' -- batch speech-to-text, no prompting."
GSA,SINSpector: Using Generative AI to Enforce Scope and Compliance,confirm_proposed,0,high,"Compliance-screening pipeline: 'identifying prohibited or out-of-scope items listed on GSA Advantage' under SINs -- fixed review workflow, not chat access."
GSA,FAS Catalog Platform - Virtual Assistant,confirm_proposed,0,high,In-app support bot: helps 'users struggling to quickly find help and support documentation within the extensive FCP system' -- scoped to one system's user guides/FAQs.
GSA,Enterprise Management Program Management Office Chatbot,confirm_proposed,0,high,"Compliance FAQ bot: 'automating responses to frequently asked questions' on policy interpretations and reporting guidelines -- one domain, one corpus."
GSA,Cybersecurity Chatbot,confirm_proposed,0,high,"Compliance-documentation assistant for GSA IT: addresses 'manual, labor-intensive compliance documentation and assessment processes' -- narrow workflow tool."
GSA,OCFO Chatbot,confirm_proposed,0,high,Financial-inquiry FAQ bot: 'automating responses to common user questions' for routine financial guidance -- scoped helpdesk automation.
GSA,National Computerized Maintenance Management System (NCMMS) AI Chatbot,confirm_proposed,0,high,"Embedded in IBM Maximo: 'user support within National Computerized Maintenance Management System... for the 20,000 work orders submitted daily' -- single-app copilot."
GSA,PBS AI Chatbot Domain Enhancements,confirm_proposed,0,medium,"Citation-rich RAG assistant over PBS data sources for PBS personnel ('consolidating disparate data sources, policy documents, and internal guidance') -- multi-domain but still one service's curated corpus, not arbitrary general LLM access."
GSA,Pricing Policy Chatbot,confirm_proposed,0,high,"Explicitly corpus-bound: 'a RAG-based internal chatbot on a dedicated corpus of knowledge' for Pricing Policy -- one dataset, one topic."
HUD,FHA Resource Center Chatbot,confirm_proposed,0,high,"Public-facing contact-center bot: answers from 'the 2,200+ FAQs in the FAQ Knowledge base' for FHA clients via web and 1-800 IVR -- customer-service chatbot."
NSF,M365 AI Builder pre-built GPT for Summarization,confirm_proposed,0,high,"Fixed Power Platform automation: 'pre-built GPT functions... to perform summarization tasks' for Planner tasks and accomplishment reports, 'limited to... an individual M365 account' -- single-workflow integration, not M365 Copilot chat."
SBA,Internal OFO Chatbot Recommender,confirm_proposed,0,high,Document recommender for one office: 'The chatbot analyzes inputs and provides approved documents as relevant recommendations' to OFO agents -- scoped retrieval bot.
SBA,Chatbots for internal research,keep_current,1,high,"Explicit general chatbot access: 'Access AI chatbots (e.g., claud, chatgpt) to improve internal research' with synthesized web answers -- arbitrary prompts for internal work; pilot scale doesn't change the kind."
SBA,Generative AI for SBA.gov product training,confirm_proposed,0,low,"ChatGPT applied to one workflow: 'an interactive learning tool for training new and existing staff on MySBA Customers & Portal best practices... through... training modules' -- scoped product-training application rather than open staff access, though the line is thin."
SBA,"AI for Small Business Development w/Copilot, Gemini or ChatGPT",keep_current,1,medium,"District-office access to general chatbots ('Copilot, Gemini or ChatGPT') for varied tasks: 'Having access to AI in the district office will allow us help business owners create financial forecast..., marketing/sales strategies and conduct market research' -- arbitrary prompts across many tasks, not one workflow."
SBA,ChatGPT for OMS Marketing,keep_current,1,medium,"Direct ChatGPT use: 'ChatGPT (OpenAI) allows users to input prompts/data and then provides answers and outlines' for marketing/newsletter work -- general-purpose chatbot access (now retired, but the flag tracks kind, not stage)."
SBA,Gemini AI for Strategic Planning,keep_current,1,medium,"Gemini used as an open assistant: 'Synthesize multiple team research, threads and ideas for strategic planning purposes' -- arbitrary-prompt general chatbot for internal work, not a fixed integration."
SBA,SBA.gov External Customer Chatbot,confirm_proposed,0,high,"Public-facing customer-service agent: 'Automates 30-40% of routine customer service interactions... 24/7 instant customer support' in Salesforce CRM -- external chatbot, excluded by rule."
SBA,Developer Code Assistant AI,confirm_proposed,0,high,"Amazon Q Developer: 'Generative AI-powered coding assistant' with IDE/CLI completions -- coding-only tool, explicitly final=0 under the decision rule."
SBA,Developer Code Assistant AI,confirm_proposed,0,high,"Duplicate filing of the same Amazon Q Developer use case: 'Generative AI-powered coding assistant' -- coding-only tool, final=0."
SEC,EDGAR Technical Support Public Chatbot,confirm_proposed,0,medium,"Retired with empty narrative; the name 'EDGAR Technical Support Public Chatbot' marks it as a public-facing support widget, which the rule excludes."
SEC,Using AI Large Language Model chat for general tasks/questions,keep_current,1,high,"This is exactly general LLM access: 'This AI service will provide a internal Large Language Model for general usage' with 'Chat response... in direct response to users individual request' -- arbitrary prompts, internal, deployed."
SEC,Extracting data from FOIA request forms,confirm_proposed,0,high,"Forms pipeline: 'Capture and load data from a FOIA form into a SharePoint list' -- document extraction, no chat."
SEC,Knowledge base of federal securities law and chatbot,confirm_proposed,0,high,"Corpus-bound research bot: 'find relevant documents referencing IM-specific curated content' -- one division's curated library, not general access."
SEC,Knowledge base of crypto comments and chatbot,confirm_proposed,0,high,Same IM pattern over crypto comments: 'identify relevant documents referencing content curated by IM' -- single curated dataset.
SEC,Disclosure Review Chatbot,confirm_proposed,0,high,"Division workflow bot: 'helps division staff search within review guides and generating detailed responses to disclosure review questions' -- one workflow, one corpus."
SEC,Note-Taking Assistant,confirm_proposed,0,high,Single-purpose tool: 'assists staff with review and analysis of the examiner's notes taken during the examination process' -- fixed workflow summarizer.
SEC,Chatbot with SEC Documents,confirm_proposed,0,high,KB-bound Q&A: 'responses to questions based on the contents of a corpus of documents and internal SEC guidelines' for EXAMS staff -- per-corpus document search.
SEC,Legal Research (Lexis+),confirm_proposed,0,high,"Commercial legal-research features: 'AI-enabled extractions of text and AI-enabled type-aheads in search bars' in Lexis+ -- domain tool, not general LLM access."
SEC,Legal Research (Westlaw Precision),confirm_proposed,0,high,Same pattern in Westlaw Precision: 'AI-enabled extractions of text and AI-enabled type-aheads' -- legal-research product.
SSA,Generative Artificial Intelligence (AI) for Analytic Insights,confirm_proposed,0,high,"Analytics pipeline: 'analyze SSA's National 800 Number and Field Office call transcripts... to provide insights into caller intent' -- batch transcript analysis, no staff prompting."
SSA,Therapy Chatbot - Text-Based Mental Health Support for SSA Employees,confirm_proposed,0,high,"Narrow wellness bot: 'therapy chatbot... designed to provide confidential, immediate mental health support' -- single-purpose chatbot over one domain, not a work assistant."
SSA,Mainframe code modernization assistant,confirm_proposed,0,high,Coding-only tooling (WatsonX Code Assistant / Code for Z): outputs are 'Code and analysis of code' -- excluded as coding tool.
SSA,Vocational Assessment Assistant Tool  (VAAT),confirm_proposed,0,high,Fixed adjudication workflow: 'recommendations for key evaluation steps... to support vocational decisions' on job codes/transferable skills -- single-workflow decision aid.
SSA,Human Resource Chatbot,confirm_proposed,0,high,"Corpus-bound HR bot for HR staff: 'grounded in SSA Personnel Policy Manual and other HR related documents' -- one dataset and one user group, not broad general access."
State,BudgetChat AI Tool,confirm_proposed,0,high,Budget-corpus Q&A for one bureau: 'responds to prompts regarding the amount of spend and positions in prior years by combing through narratives presented to' BP -- scoped dataset and users.
State,Travel.State.Gov (TSG) Enhanced Search and Chatbot,confirm_proposed,0,medium,"Retired with empty narrative; name 'Travel.State.Gov (TSG) Enhanced Search and Chatbot' indicates a public-facing site search/chat widget, excluded by rule."
State,Rosie Chat Bot,confirm_proposed,0,high,"HR FAQ bot over internal info: 'locate consistent, accurate answers to HR-related questions... based on internal information' -- one domain corpus, not arbitrary-prompt general access."
State,AI SharePoint Chatbot,confirm_proposed,0,high,Site-embedded bot: 'Answers to post-specific questions via a chatbot integrated into the Embassy SharePoint site' -- scoped to one site's content.
State,Databricks Code Assistant,confirm_proposed,0,high,Embedded copilot for one analysis task: outputs 'A data usage report' on mobile-plan billing inside Databricks -- coding/single-workflow tool.
State,TIP Report Research Translation,confirm_proposed,0,high,"Translation pipeline: 'informal, unofficial translations of PDFs and Microsoft word documents' for the TIP report -- document-processing, no chat."
