product_id,canonical_name,vendor,product_type,is_generative_ai,is_frontier_llm,parent_canonical_name,aliases,edge_count
5203,ACCRETE ARGUS,ACCRETE AI Government,supply_chain,0,0,,ACCRETE ARGUS,0
5207,Adobe Creative Cloud Suite,Adobe,productivity,1,0,,Adobe Creative Cloud Suite|Adobe Suite Applications,1
5017,Adobe Firefly,Adobe,computer_vision,1,0,Adobe Creative Cloud Suite,Adobe Firefly|Firefly,7
5018,Adobe Photoshop,Adobe,computer_vision,1,0,Adobe Creative Cloud Suite,Adobe Photoshop|Photoshop,5
5119,Trunet Biometrics,Advanced Technologies Group,biometrics,0,0,,Trunet|Trunet Systems|Trunet Biometrics,1
5047,ARC Travel Intelligence,Airlines Reporting Corporation,investigative_data,0,0,,Airlines Reporting Corporation Travel Intelligence Program|ARC Travel Intelligence Program|ARC TIP,1
5210,Airship AI Platform,Airship AI Holdings Inc.,computer_vision,0,0,,Unmanned Aerial Systems (UAS)|Airship AI Platform,2
5020,Airtable AI,Airtable,productivity,1,0,,Airtable AI|Airtable's AI|Airtable,2
5212,Alation Data Catalog,Alation,data_catalog,0,0,,Alation Data Catalog,1
5214,Altana Atlas,Altana,supply_chain,0,0,,Altana Atlas|Altana  Entity Resolution for Global Trade Data|Altana  Entity Resolution,2
5036,Alteryx,Alteryx,ml_platform,1,0,,Alteryx,3
5049,Amazon Alexa,Amazon,nlp,0,0,,Amazon Alexa|Alexa|Amazon Alexa Skill|Alexa Skill,1
4998,Amazon CodeWhisperer,Amazon,coding_assistant,1,0,Amazon Q,CodeWhisperer|Amazon CodeWhisperer|AWS CodeWhisperer,1
4997,Amazon Q,Amazon,general_llm,1,1,,AWS Q|Amazon Q|Q Developer|Q Business,12
5000,AWS Bedrock,Amazon,general_llm,1,1,,Bedrock|AWS Bedrock|Amazon Bedrock,13
5146,AWS Kendra,Amazon,search,0,0,,AWS Kendra,1
5228,AWS Lex,Amazon,nlp,0,0,,AWS Lex|Lex Natural Language Interface,1
5190,AWS Rekognition,Amazon,computer_vision,0,0,,AWS Rekognition,2
5019,AWS Textract,Amazon,computer_vision,0,0,,AWS Textract|Amazon Textract|Textract,3
