Use Case ID,Use Case Name,Agency,Bureau/Component/Division/Branch,Contact Name,Contact Email Address,Use Case Topic Area,Is the AI use case found in Appendix B’s list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?"
DOJ-0001,Adobe Suite Applications,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Adobe Suite products support the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) in enhancing the quality and efficiency of multimedia content handling within their operations. The out-of-the-box artificial intelligence features included in these Adobe applications assist in tasks like image enhancement, optical character recognition (OCR), content-aware editing, and document formatting. These AI capabilities enable ATF to prepare high-quality documents and multimedia files for various purposes. By automating and improving these tasks, the AI tools help reduce manual workload, minimize errors, and increase operational efficiency. Overall, the use of AI in Adobe Suite products is designed to improve the effectiveness, accuracy, and professionalism of ATF's documentation and multimedia processing.

Expected benefits: The expected benefits of utilizing the AI features in Adobe Suite Products are broad and extend beyond FOIA-related activities. The AI capabilities in applications like Photoshop and Acrobat enhance productivity by automating routine tasks such as image editing, optical character recognition (OCR), and content-aware fill. This automation allows staff to process documents and multimedia content more quickly and accurately, leading to time savings and reduced operational costs. The improved efficiency helps in various functions, from preparing official documents to creating high-quality visual materials for communication purposes. Additionally, the AI tools contribute to better quality outputs, which can enhance public engagement and trust. Overall, the AI features in Adobe Suite Products support increased productivity, cost savings, and higher-quality work across a range of organizational activities.","The AI features within Adobe Suite products generate automated enhancements and suggestions to improve the efficiency and quality of multimedia content handling. In applications like Photoshop and Acrobat, the AI provides functionalities such as image enhancement, optical character recognition (OCR), content-aware editing, and automated formatting. For example, the AI tool might automatically adjust image lighting and colors, recognize and convert scanned text into editable formats, or suggest layout improvements for documents. These outputs assist users by automating routine tasks and enhancing the quality of the final product. These AI tools support staff in their work, but all actions are initiated and finalized by human users, ensuring that control remains with the individual operator.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0002,Airlines Reporting Corporation Travel Intelligence Program,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The purpose of the AI use case in the Airlines Reporting Corporation Travel Intelligence Program is to examine travel data and highlight atypical routes or passenger movements more swiftly. Leveraging AI for pattern recognition and predictive insights reduces manual data inspection, speeds the identification of significant travel anomalies, and enables more prompt, well-informed decision-making. Overall, it refines resource deployment and fosters more accurate, efficient management of travel-related investigative activities.

Expected benefits: The expected benefit is reduced effort identifying unusual travel scenarios, focusing on significant itineraries/individuals.","The AI features generate alerts, highlight uncommon travel paths/profiles, suggesting beneficial attention areas.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0003,Airship,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Airship is an enterprise video management platform used to manage, secure, store, and analyze video surveillance obtained through criminal investigations. The airship platform includes AI-based capabilities for optical character recognition (OCR) for car license plates, airplane tail numbers, etc. and object detection (e.g., weapons, vehicles, bags, etc.) with customizable near-real-time alerts.

Expected benefits: AI features help to support agent monitoring of surveillance video streams to ensure rapid notifications when predefined events occur that are pertinent to a criminal investigation.","Bounding boxes for video frames and metadata regarding the detected object characteristics, alphanumeric digitized text from OCR","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0004,Alation Data Catalog,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: The AI feature within Alation’s Data Catalog make data easy to find, understand, and use. It leverages machine learning and natural language processing (NLP) to automatically organize and tag data, creating a “map” of available information from various sources within an organization. This means that anyone looking for specific data can use simple, plain-language search terms, and the AI feature will help them locate the most relevant information quickly. Alation’s AI feature also “learns” from how people interact with data, getting smarter over time about which data is most useful and how it’s typically used, helping it recommend relevant information more accurately.

In addition to making data easier to discover, Alation’s AI feature enhances data governance and security. It helps track where data comes from, who uses it, and how it’s being used, creating an audit trail that is vital for organizations that need to ensure compliance with data privacy and security regulations. This capability also helps keep data accurate and up-to-date, as Alation’s AI feature flags outdated or underused data assets. By making data both accessible and secure, Alation’s AI empowers organizations to make data-driven decisions with confidence, supporting everything from day-to-day operations to strategic planning.

Expected benefits: Alation’s AI feature provides benefits by simplifying data discovery, improving data accuracy, and enhancing security. With AI-driven search and recommendations, it enables users to quickly find relevant data across large, complex datasets, making information more accessible for decision-making. Its natural language search allows even non-technical users to locate data easily, reducing time spent on data retrieval. Additionally, Alation’s AI automates data organization and governance, helping to keep data accurate, up-to-date, and secure. By tracking data usage and ensuring only authorized access, it supports compliance and builds trust in data, empowering teams to make reliable, data-driven decisions.","The Alation Data Catalog AI system primarily produces outputs that are recommendations and predictive insights to enhance data discovery, governance, and usability. These outputs include data recommendations, where the AI suggests relevant datasets or reports based on user behavior and usage patterns, as well as search predictions, which anticipate what users are looking for and suggests relevant terms as they type. The system also generates informational insights, such as data lineage and usage trends, to help users understand data quality and provenance. Additionally, Alation’s AI feature provides governance alerts, flagging assets that may need review to ensure compliance and accuracy. Rather than making decisions, the AI outputs guide users toward more efficient and informed data management.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0005,Axon FUSUS (via HIDTA partners),Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: This capability is not provided or managed by ATF. It provides ATF staff access to Axon FUSUS systems which are provided and managed by High Intensity Drug Trafficking Area (HIDTA) partner agencies. FUSUS integrates video and other data from public safety systems to support law enforcement investigations and increase situational awareness for real-time operations. This includes AI-enabled  analysis of participating video streams, with configurable real-time notifications to law enforcement.

Expected benefits: Increased situational awareness for real-time law enforcement operations.",Notifications to law enforcement based upon preconfigured alerts from AI-enabled analysis of data streams from participating security devices,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0006,Azure Data Factory,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Other,None,"Purpose: ATF recently enabled Azure Data Factory subscription in Azure, which included smart and intelligent features like anomaly detection, data quality analysis, completeness and predictive function on data pipeline. ATF does not use these features directly.  These features are embedded within other tools.

Expected benefits: The embedded data analytics and data quality capabilities will increase the efficiency and effectiveness with which ATF is able to locate and analyze our data, and the quality and reliability of the resulting data.",Data extraction transformation/load pipelines used to integrate data from disparate datasets,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.","No, use case is too new to fully assess impacts; will be reassessed before end of acquisition and development stage."
DOJ-0007,Azure Zen 2 Storage,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Other,None,"Purpose: ATF recently enabled Storage subscription in Azure, which included smart features such as automatic data indexing. ATF does not use these features directly.  These features are embedded within other tools and enable automatic data indexing based on the data fed into the system. 

Expected benefits: Automatic data indexing increases the efficiency and effectiveness with which ATF is able to locate and analyze our data.",A data index which aides in the retrieval and analysis of ATF data.,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.","No, use case is too new to fully assess impacts; will be reassessed before end of acquisition and development stage."
DOJ-0008,Bloomberg Government - AKA BGOV,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: The purpose of the AI use case in Bloomberg Government (BGOV) is to enhance policy and regulatory analysis by automating data aggregation, pattern detection, and trend forecasting. Using AI, the system refines vast datasets into actionable insights, helping users quickly understand emerging issues and legislative shifts. By improving accuracy, the AI capabilities empower more informed strategic planning, better resource allocation, and improved overall comprehension of complex policy environments.

Expected benefits: The expected benefit is reduced guesswork in navigating complex public information, improving planning/strategy.","The AI features compile briefs, detect regulatory patterns, and compare data points into a coherent narrative.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0009,CargoNet,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The purpose of the AI use case in CargoNet is to detect and interpret patterns within logistics and theft incident data, automating the process of identifying unusual activities or recurring risks. By using AI for pattern recognition and anomaly detection, the system reduces the need for manual data sorting, improves the reliability of its findings, and focuses investigative resources where they are most needed. Ultimately, this approach elevates efficiency, accuracy, and responsiveness in addressing crime related to cargo security.

Expected benefits: The expected benefit is focusing efforts on deviating areas/goods/patterns to improve effectiveness of subsequent steps.","The AI features produce alerts, reveal clusters, and connect events to show underlying trends.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0010,CellHawk (via HIDTA partners),Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: This capability is not provided or managed by ATF. It provides ATF staff read-only access to Cell Hawk data which is provided and managed by High Intensity Drug Trafficking Area (HIDTA) partner agencies.

Expected benefits: Link and trend analysis results provided by this system provide law enforcement personnel with increased insights into subjects' activities in the context of criminal investigations.",Link and trend analysis diagrams showing entities involved in criminal investigations and known cellphone-based communications between them,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0011,Coinbase,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Coinbase applies machine learning and analytical models to digital asset transactional data, identifying unusual or high-risk activities more swiftly. By automating anomaly detection, risk scoring, and pattern recognition, the system minimizes manual review, speeds up the detection of irregular transactions, and increases analytical accuracy. This leads to more efficient resource use, reduced human error, and a strategic focus on transactions that genuinely require closer examination.

Expected benefits: The expected benefit is more efficient resource allocation, prioritizing unusual transactions over a full review.","The AI features provide risk alerts, highlight suspicious groups, and explain why activities differ from norms.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0012,Digital.ai,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Digial.ai is  ATF's enterprise tool for managing agile software development projects. It is used to capture user stories (requirements) and manage the processes of prioritization, implementation, testing, and close-out of the user stories. None of the AI features available within digital.ai are currently in use, but the use case is being reported because they are available within the product. AI features involve analysis of project status, supporting automated test generation, and automating software releases. ATF uses other non-AI products for these purposes.

Expected benefits: ATF is not using any of the available AI features.",ATF has not evaluated the AI features in detail since other non-AI products are currently being used to serve the purposes for which Digital.ai uses AI.,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Neither
DOJ-0013,DocketScope,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),Searching for information using AI.,"Purpose: This product interfaces with regulations.gov and uses text analytics on publicly submitted comments identify duplicate language submitted amongst comments and to sort them. The user still has to review each comment, but with the aid of DocketScope, the user knows which are repeat comments and which are uniquely written comments. 

Expected benefits: This product cuts down on the amount of personnel hours spent reviewing comments. By focusing on reading the duplicate comments once and identifying those issues, the agency is better able to focus personnel on reviewing the unique comments. This tool has saved ATF money otherwise spent in overtime work during rulemaking projects with tight deadlines. ","Using text analytics, this tool categorizes comments with identical language.  This tool allows the user to focus on different clusters of comments to review.  Instead of reading 10,000 duplicate comments, the user reviews the comment once. ","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0014,Dun & Bradstreet Business Establishments Data,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The purpose of the AI use case in Dun & Bradstreet Business Establishments Data is to analyze business information, detect irregularities, and assess potential risks more efficiently. AI-driven data integration, anomaly detection, and trend analysis automate what would otherwise be intensive manual evaluations. This approach improves the speed and reliability of identification of questionable business activities, aids resource prioritization, and heightens overall accuracy and responsiveness in addressing potential issues.

Expected benefits: The expected benefit is more directed attention on atypical organizations, improving efficiency and reducing randomness.","The AI features generate risk indicators, show relationships, help rank businesses meriting closer look.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0015,Evidence.com - Axon,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: ATF's use of Axon body-worn cameras and the associated evidence.com service are integral to ensuring ATF's compliance with  Executive Order 14074 and DOJ policy documented in DOJ OIG, Inspector General Manual, Volume III, Chapter 236, Body Worn Camera Program. Body camera videos are transferred to the Axon Evidence.com service, which includes AI-based features for performing recognition of heads in videos for the purpose of redaction. ATF has performed limited testing of these capabilities, but is not operationally using them.

Expected benefits: Evidence.com provides AI-based features that identify the presence of heads in videos and can perform automated redaction. This would increase the efficiency of redacting video evidence for release. However, ATF is not operationally using them. ","Evidence.com AI capabilities will output bounding boxes around heads that are identified in videos, for input to redaction processes. These AI functions are not being operationally used.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0016,Federal Docket Management System,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),Searching for information using AI.,"Purpose: This system allows agencies to receive comments that are submitted electronically in response to rulemaking initiatives. The system has features that categorize comments based on text analytics, allow agencies to make those comments public facing or redact them, and allow agencies to download the comments. 

Expected benefits: This product makes agency review and processing of electronic comments received in the context of rulemaking more efficient.  The features in FDMS allow agencies to bulk post up to 1,000 comments allowing the public to see their comments faster. ",It is the place where agencies receive comments that are electronically submitted in response to a rulemaking. It allows agencies to make those comments public facing.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
