product_id,proposed_alias,source_use_case_id,llm_reasoning
847,FLIR 280 HD,Teledyne FLIR,FLIR 280 HD,high,"Names FLIR 280 HD, a Teledyne FLIR thermal imaging camera not in canonical list."
848,Acoustic Signature AI for Gunshot Detection,Invariant Corporation,Invariant Corporation  Acoustic Signature AI for Gunshot Detection,high,Names Invariant Corporation's Acoustic Signature AI for gunshot detection.
849,Clearview AI,Clearview AI,Clearview AI Traveler Verification System,high,Names Clearview AI facial recognition.
850,ThruWave NII 3D Imaging Tool,ThruWave,ThruWave  Non-Intrusive Inspection (NII) 3D Imaging Tool,high,Names ThruWave millimeter wave 3D imaging tool.
851,Ideation ReadyAI,Ideation,Ideation ReadyAI,high,Names Ideation ReadyAI chatbot platform.
852,LIGER Generative AI Toolkit,"LMI Consulting, LLC","LMI Consulting, LLC  LIGER Generative AI Toolkit",high,Names LMI Consulting's LIGER Generative AI Toolkit.
853,Babel Street Babel,Babel Street,Babel Street Babel Street Babel,high,Names Babel Street's Babel platform.
854,ThruVision TAC 16,ThruVision,ThruVision TAC 16 Passive Body Scanner,high,Names ThruVision TAC 16 passive body scanner.
924,Illumio,Illumio,Illumio,high,"Names CrowdStrike and Splunk explicitly; Illumio, AttackIQ, Cofense, Polarity not in canonical list."
931,Okta Adaptive MFA,Okta,Okta,high,Names Okta AdaptiveMFA with integrations to CrowdStrike and Microsoft Defender.
1116,Lookout,Lookout,Lookout,high,"Names CrowdStrike, Zscaler, Splunk, Palo Alto Networks; Lookout and Cisco Secure Network Analytics not canonical."
1473,ServiceNow IT Operations Management (ITOM) Predictive AIOps,ServiceNow,ServiceNow IT Operations Management (ITOM) Predictive AIOps,medium,ServiceNow ITOM Predictive AIOps; closest canonical match is ServiceNow Now Assist.
1475,Tenable,Tenable,Tenable,medium,"ServiceNow Vulnerability Response with Tenable; ServiceNow product, Tenable not in canonical list."
857,NEC NeoFace,NEC,NEC,high,NEC facial recognition vendor; Traveler Verification Service is internal CBP system. NEC not canonical.
858,NEC NeoFace,NEC,NEC,high,NEC facial recognition vendor; TVS internal CBP system. NEC not in canonical list.
859,NEC NeoFace,NEC,NEC (algorithm only),high,NEC algorithm for facial recognition in TVS; NEC not in canonical list.
860,NEC NeoFace,NEC,NEC,high,NEC facial recognition for TVS vetting; NEC not canonical.
861,NexisXplore,LexisNexis,NexisXplore,high,NexisXplore open source/social media analysis tool; not in canonical list.
862,TRM Labs,TRM Labs,TRM Labs,high,TRM Labs cryptocurrency analysis tool; not in canonical list.
863,Traffic Jam,Marinus Analytics,Marinus Analytics Traffic Jam,high,Marinus Analytics Traffic Jam; not in canonical list.
864,iProov,iProov,IProov,high,iProov liveness detection used by CBP Link; not in canonical list.
865,Rekor,Rekor,Rekor,high,Rekor license plate recognition for TECS Mod; not in canonical list.
866,NEC NeoFace,NEC,NEC,high,NEC facial comparison for Mobile Fortify; NEC not canonical.
868,NEC NeoFace,NEC,NEC (Nippon Electric Company),high,NEC (Nippon Electric Company) facial recognition for TVS; not canonical.
873,AIS Resume Screening,AIS,AIS,high,AIS resume screening tool; not in canonical list.
874,NEC NeoFace,NEC,NEC,high,NEC facial recognition third-party vendor for Mobile Fortify; NEC not canonical.
875,Motorola License Plate Recognition,Motorola,Motorola,high,Motorola license plate capture and analysis; not in canonical list.
877,Low-Pfa Screening Algorithm,Leidos / Rohde & Schwarz,"Leidos, Rohde & Schwarz  Low Probability of False Alarm (Low-Pfa) Algorithm",high,Leidos/Rohde & Schwarz Low-Pfa screening algorithm; not in canonical list.
878,Credential Authentication Technology (CAT-2/AutoCAT),IDEMIA Identity & Security USA,"IDEMIA Identity, Security USA LLC STIP/CAT Credential Authentication Technology with Camera System (CAT-2) and AutoCAT",high,IDEMIA STIP/CAT credential authentication; not in canonical list.
879,CBP Traveler Verification Service (TVS),NEC,"CBP TVS, NEC Algorithm CBP TVS PreCheck Touchless Identity Solution",high,NEC TVS PreCheck identity solution; not in canonical list.
880,Text Analytics Sentence Similarity Model,Inadev,Inadev Text Analytics Text Analytics Data Science Sentence Similarity Model,high,Inadev custom text analytics model; not in canonical list.
881,ARGOS (Automated Real-Time Global Organization Specialist),IBM,IBM ARGOS (Automated Real-Time Global Organization Specialist),high,IBM ARGOS sentiment analysis tool; not in canonical list.
882,Verification Information System (VIS),IBM,IBM Verification Information System,high,IBM Verification Information System; not in canonical list.
883,Customer Profile Management System / IDENT Facial Recognition,Pluribus Digital,Pluribus Digital Customer Profile Management System I-765 - USCIS Facial Recognition through IDENT,high,Pluribus Digital Customer Profile Management/IDENT facial recognition; not in canonical list.
884,Person Centric Identity Services (PCIS),MetroIBR,MetroIBR Person Centric Identity Services,high,MetroIBR Person Centric Identity Services; not in canonical list.
