use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,pre_classification
61151,DHS,FOIA processing automated redaction (RedactAI),,,,Generative AI,"This use case leverages AI technology to streamline the identification and redaction of sensitive content in documents related to FOIA requests. Using Vertex AI and other GCP services, the system identifies and categorizes content that may require redaction based on specific controls. This automation is expected to significantly reduce processing times compared to manual redaction, enhancing efficiency in handling FOIA requests. The system provides recommendations for content to be redacted. Users are required to review and manually approved the suggested redactions based on the appropriate FOIA exemptions.",AI is being used to find content that may need to be redacted in documents related to FOIA requests and applicable FOIA exemptions. The benefits are expected to be much faster processing time for the requests as opposed to manually performing the task.,dark_sample
61186,DHS,MiX Indicators,,,,Natural Language Processing (NLP),Identification of emerging health threats.,"Online news and other open-source media can be used to quickly detect and respond to emerging health security threats. However, it is not practical for people to read and scan all online news stories every day for key terms. AI/ML makes it possible to read, digest and organize news stories to look for key threat terms. AI/ML will also be used to predict normal trends in news stories. This makes it possible to detect when an unusual number of health security threat terms are found in the news. This use of AI/ML helps prepare for, respond to, and protect from potential health security threats.",dark_sample
61323,DHS,Voice Analytics for Investigative Data,,,,,,,dark_sample
61349,DHS,Conversation Training and Feedback Simulator,,,,,,,dark_sample
61373,DOC,Global Business Navigator Chatbot,,,,,,,dark_sample
61375,DOC,Generative AI Tools Pilot - Enterprise & Solutions Architecture,,,,,,,dark_sample
61404,DOC,OLE Looker,,,,,,,dark_sample
61407,DOC,ENSO and Hurricane Outlooks using observed/analyzed fields,,,,,,,dark_sample
61408,DOC,Drought outlooks by using ML techniques,,,,,,,dark_sample
61413,DOC,AI QC of water level observations,,,,,,,dark_sample
61415,DOC,HABScope,,,,,,,dark_sample
61426,DOC,Machine Learning Collaboration Yields New Methods to Measure Shoreline Marine Debris,,,,,,,dark_sample
61430,DOC,Steller sea lion automated count program,,,,,,,dark_sample
61431,DOC,Steller sea lion brand sighting,,,,,,,dark_sample
61434,DOC,Acoustic and image-based habitat classification in the Gulf of Alaska using machine learning,,,,,,,dark_sample
61457,DOC,Machine learning to automate review of electronic monitoring data collected from the Hawaii Longline Fisheries,,,,,,,dark_sample
61458,DOC,An Interactive Machine Learning Toolkit for Classifying Species Identity of Cetacean Echolocation Signals in Passive Acoustic Recordings,,,,,,,dark_sample
61476,DOC,Uncertainties and recommendations for projecting species distributions under climate change,,,,,,,dark_sample
61477,DOC,Quantifying the spatiotemporal overlap of albacore with diverse fisheries and IUU risk factors in the North Pacific,,,,,,,dark_sample
61480,DOC,Where did they not go? Considerations for generating pseudo-absences for telemetry-based habitat models,,,,,,,dark_sample
61508,DOC,AI-powered Chatbot for Federal Funding Assistance (Grants) Guidance Dissemination,,,,,,,dark_sample
61533,DOC,Fleet Requirements Analysis and Management Engine (FRAME),,,,,,,dark_sample
61536,DOC,Alma/Primo,,,,,,,dark_sample
61542,DOC,Library Market Research GenAI Tools Pilot,,,,,,,dark_sample
61589,DOE,ORNL: AI for Bio and Health Sciences,,,,Generative AI,improve health,improve health,dark_sample
61670,DOE,Advanced Peer to Peer Transactive Energy Platform with Predictive Optimization,,,,Classical/Predictive Machine Learning,Applying AI/ML to optimize renewable energy generation and consumption on Smart Grid with block chain technologies,Applying AI/ML to optimize renewable energy generation and consumption on Smart Grid with block chain technologies,dark_sample
61779,DOE,"Enhancing the circularity: Cost effective battery de-energization, disassembly, and pre-processing (CEBDDP)",,,,Classical/Predictive Machine Learning,Predict state of health and state of function of spent batteries,"Improved ability for prediction to enable potential reuse of batteries, towards reducing costs of batteries",dark_sample
61784,DOE,"lntegrated Platform for Multimodal Data Capture, Exploration and Discovery Driven by Al Tools",,,,Classical/Predictive Machine Learning,"This project will enable and accelerate scientific discovery by leveraging large complex multimodal datasets generated at BES user facilities, develop shared transferrable infrastructure to store, curate, analyze and disseminate the data.  Additional","This project will enable and accelerate scientific discovery by leveraging large complex multimodal datasets generated at BES user facilities, develop shared transferrable infrastructure to store, curate, analyze and disseminate the data.  Additionally, we will build data analysis tools that reveal correlations in multimodal data and apply Machine Learning (ML) methods and train artificial Intelligence (AI) models that efficiently extract synergistic physical information and embed such models in new workflows for rapid scientific discovery.",dark_sample
61799,DOE,UNSPSC Codes,,Azure GOV,Developed in house,Generative AI,Map requisition items to UNSPSC codes,Maxmize use of Strategic Agreements and facilitate SCM reporting,dark_sample
61806,DOE,Streamining intelligent detectors for sPHENIX/EIC,,,,Classical/Predictive Machine Learning,his project develops real-time algorithms for event filtering with tracking detectors for nuclear physics collider experiments.,AI tools are developed for embedded inference in real-time processing systems for scientific experiments  such as sPHENIX and upcoming EIC. This can accelerate sientific discovery and time to science thus enabling large cost savings and DOE scientific prestige.,dark_sample
61838,DOE,AI for Vendor Compliance,,,,Generative AI,Making sure vendors are in compliance with regulations.,More streamlined risk mitigation process with vendors.,dark_sample
61868,DOE,Performance Monitoring at the Salt Waste Processing Facility (SWPF),,,,Classical/Predictive Machine Learning,"With data from SWPF instrumentation, train neural networks to consider process parameters and chemical speciation data from incoming salt batches to predict filtration rate performance.",Proactive monitoring of complex facility processes with only select instrumentation data to guide prediction process operations,dark_sample
61873,DOE,5G-enabled Reliable and Decentralized IoT Framework with Blockchain,,,,Classical/Predictive Machine Learning,"We propose to develop an end-to-end, 5G-enabled, reliable, and decentralized IoT framework that improves data collection and communication among edge computing devices for science applications.","We propose to develop an end-to-end, 5G-enabled, reliable, and decentralized IoT framework that improves data collection and communication among edge computing devices for science applications.",dark_sample
61885,DOE,Machine Learning for Accelerator Operations Using Big Data Analytics / L-CAPE,,,Developed in house,Classical/Predictive Machine Learning,"Big data analytics for anomaly prediction and classification, enabling automatic mitigation, operational savings, and predictive maintenance of the Fermilab LINAC","ML models are deployed for the FNAL's Linac.to detect, label andact upon faults.  The usage of ML will jimporve our fault labelingand detection.  This will allow for improved operatioal efficeincy, fault statistics, and preventitive maintenance. To my knowledge this is the first global accelerator operations ML system.",dark_sample
