queue_id,use_case_id,consolidated_use_case_id,question_type,current_tag,final_tag,decision,confidence,search_attempted,search_query,evidence_quote,notes
582,7456,,architecture,unknown,rag_pipeline,apply_proposed,high,no,,"[use_case_name] Semantic Search, Summarization, and Data/Spatial Visualization for NCR Watch COP/Dashboard [problem_statement] The speed of i",Explicit RAG evidence in narrative; was 'unknown'.
583,7421,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
584,7499,,architecture,fine_tuned,fine_tuned,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
585,7432,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
587,7490,,architecture,inference_only,inference_only,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
588,7423,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
589,7459,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
590,7424,,architecture,unknown,rag_pipeline,apply_proposed,high,no,,[use_case_name] Semantic Search and Summarization for Investigative Data [problem_statement] This use case intends to solve the problem of searc,Explicit RAG evidence in narrative; was 'unknown'.
591,7470,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
592,7502,,architecture,custom_trained,custom_trained,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
593,7526,,architecture,custom_trained,custom_trained,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
594,7739,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
595,7665,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
596,7737,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
597,7790,,architecture,inference_only,inference_only,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
598,8064,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
599,8062,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
600,8045,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
601,8091,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
602,8088,,architecture,inference_only,inference_only,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
603,7911,,architecture,inference_only,inference_only,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
604,8202,,architecture,custom_trained,custom_trained,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
605,8092,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
606,8105,,architecture,unknown,rag_pipeline,apply_proposed,high,no,,utilizing Azure OpenAI and HPC LLM's. Intending to utilize RAG model for DOE Tech Transfer specific information. [ai_classification] Other [topic_area] Informatio,Explicit RAG evidence in narrative; was 'unknown'.
607,8097,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
608,7932,,architecture,custom_trained,rag_pipeline,apply_proposed,high,no,,ill assist workers in completing processes and activities.  RAG (mini RAG preferred) is the method that will be used for integration with the AI solution. [ai_clas,Explicit RAG evidence in narrative; was 'custom_trained'.
610,8178,,architecture,unknown,rag_pipeline,apply_proposed,high,no,,[use_case_name] AccessAI [problem_statement] GenAI-RAG on corporate content [expected_benefits] Productivity Tool [system_outputs] Text [system_name] Azur,Explicit RAG evidence in narrative; was 'unknown'.
611,8157,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
612,7930,,architecture,unknown,rag_pipeline,apply_proposed,high,no,,"at Bot for IT User Services [problem_statement] Interactive RAG chat bot model trained on existing, updated and new IT resource documentation in the user space. Pl",Explicit RAG evidence in narrative; was 'unknown'.
613,8156,,architecture,unknown,rag_pipeline,apply_proposed,high,no,,[use_case_name] Ask HR [problem_statement] GenAI-RAG on HR content [expected_benefits] Productivity Tool [system_outputs] Text [system_name] Azure GOV [,Explicit RAG evidence in narrative; was 'unknown'.
614,8262,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
615,8233,,architecture,unknown,rag_pipeline,apply_proposed,high,no,,data. We want to apply modern AI/ML approaches such as RAG (Retrieval-Augmented Generation) to gain insights from that unstructured data. [expected_benefits] gain insights from that unstruct,Explicit RAG evidence in narrative; was 'unknown'.
616,8355,,architecture,inference_only,inference_only,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
617,8387,,architecture,custom_trained,custom_trained,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
618,8344,,architecture,unknown,unknown,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
619,8311,,architecture,custom_trained,custom_trained,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
620,8388,,architecture,custom_trained,custom_trained,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
621,8357,,architecture,custom_trained,custom_trained,keep_current,low,no,,,No explicit RAG/agentic/fine-tune evidence; keeping current value per humility rule.
