agency,use_case_name,bureau_component,current_scope,proposed_scope,proposed_is_enterprise_wide,confidence,reasoning,evidence_url
ED,"MS Copilot - Summarization","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail is literally 'Agency Wide'; deployed M365 Copilot capability row.",
ED,"MS Copilot - Data Analysis & Insights","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Process & Workflow Automation","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Compliance & Risk Management","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Collaboration & Communication","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Research & Knowledge Management","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Training & Education","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Project & Task Management","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Content Organization & Archiving","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Grant & Program Management","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Security & Privacy","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Business Process Improvement","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
ED,"MS Copilot - Creative & Productive Work Enhancement","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed Copilot family.",
FRTIB,"Adobe Firefly","Agency Wide",bureau,enterprise_wide,1,high,"scope_detail 'Agency Wide'; deployed agency-wide at FRTIB.",
FRTIB,"Sumtotal Chatbot","Agency Wide",bureau,enterprise_wide,1,medium,"scope_detail 'Agency Wide'; LMS chatbot for the agency workforce.",
State,StateChat,DT,bureau,enterprise_wide,1,high,"The filing itself: 'StateChat is the Department's enterprise Generative AI-powered chatbot'; ~45,000 users per State's M-25-21 compliance plan; deployed.",https://www.state.gov/wp-content/uploads/2025/09/DOS-Compliance-Plan-with-M-25-21.pdf
DOT,"USAi (multi-model large language models)",OST,bureau,enterprise_wide,1,high,"GSA USAi multi-model platform offered at department level via OST ('DOT needs access... cross-agency collaboration'); pilot.",
DOT,"Conversational Multi-modal Chatbot (Google Gemini)",OST,bureau,enterprise_wide,1,medium,"'Google Gemini will allow DOT employees to generate reports... aligned with specific Operating Administration format' — cross-modal employee tool from OST; deployed.",
DOT,"Report Sumarization (Google NotebookLM)",OST,bureau,enterprise_wide,1,medium,"'DOT employees need an environment to upload custom RAG' — department employee offering from OST; deployed.",
Treasury,"GenAI Productivity Tool","Technology Common Services Center (TCSC)",bureau,bureau,0,low,"KEEP bureau: TCSC shared-services assistant with generic narrative; no evidence of Treasury-wide reach.",
TVA,Copilot,"Information Technology",bureau,bureau,0,low,"KEEP bureau: empty narrative; no evidence the IT org offers it TVA-wide.",
TVA,"Github Copilot","Information Technology",bureau,bureau,0,high,"KEEP bureau: developer tool for IT staff.",
TVA,"AWS Q","Information Technology",bureau,office,0,medium,"Narrative says 'help IT be more efficient' — IT-team scope.",
DOE,EnerGPT,,department,enterprise_wide,1,medium,"NORMALIZE parallel pass's 'department' (invalid 2025 vocab) to enterprise_wide: OCIO/IM-50-operated EnerGPT deployed as DOE's department GenAI tool.",
GSA,"Gemini for Google Workspace",,department,enterprise_wide,1,high,"NORMALIZE parallel pass's 'department': Gemini in GSA's agency-wide Google Workspace, deployed.",
NASA,"NASA-GPT: Retrieval-Augmented Generation using NTRS and more",,department,enterprise_wide,1,low,"NORMALIZE parallel pass's 'department': accepting their judgment that NASA-GPT is the agency-level RAG initiative (pre-deployment, filed at ARC) — low confidence, revisit with evidence.",
NASA,ChatGSFC,,enterprise_wide,bureau,0,medium,"DOWNGRADE parallel pass's upgrade: ChatGSFC is Goddard-center-wide — a center is a bureau-equivalent (same rule as Savannah River site tools ≠ DOE-wide).",
