agency,use_case_name,cohort,bureau_component,current_is_generative_ai,is_general_llm_access,ai_sophistication,ai_classification,ai_classification_normalized,stage_normalized,operational_date,tool_product_name,system_name,vendor_name,problem_statement,expected_benefits,system_outputs,fired_keywords
DHS,AI Enabled Autonomous Underwater Vehicle,over_contradict,CBP,1,0,computer_vision,Computer Vision,Computer Vision,pre_deployment,,,,,"Customs and Border Protection (CBP) desires to identify potential Items of Interest (IoI) on vessels more quickly, efficiently, and safely.  Provides increased shared situational awareness in real time for CBP and strategic partners, and improves mission planning and agent and officer safety while reducing reactionary gaps.","Customs and Border Protection (CBP) intends to identify potential for Items of Interest (IoI) on vessels through the use of autonomous systems, which will allow CBP to more efficiently and safely increase shared situational awareness, improve mission planning and agent/officer safety, and reduce reactionary gaps.","AI output will include object avoidance, automated mission execution, and may include imagery of potential Items of Interest (IoI).",agent; autonomous
DHS,AI Interview Simulator for Officer Training,under_declared,USCIS,0,0,general_llm,Generative AI,Generative AI,deployed,2025-09-08 00:00:00,,Global,"Steampunk, Customer Value Partners LLC (CVP) and Alpha Omega Integration (AOI)","By simulating realistic applicant responses to officer questions, the AI Interview Simulator enables the RAIO trainees to refine their interview techniques without requiring any additional resources from experienced officer trainers or peers.",The AI Interview Simulator mimics live interviews to provide an analysis of the type of responses elicited in a mock interview.  This training platform accelerates the competency of the interviews by providing a format for the trainees to practice soliciting testimony from applicants through a chat-based user interface.,"The AI Interview Simulator generates human-like conversation in a text format, specially trained and tuned for RAIO Officer training.",
DHS,AI Security and Monitoring,under_declared,USCIS,0,0,general_llm,Generative AI,Generative AI,deployed,2025-03-31 00:00:00,,ESS,Lasso,"Organizations adopting AI face a number of risks from data leaks, shadow AI, and unsecured outputs.","The gateway will secure enterprise AI use by discovering shadow AI, enforcing guardrails, and preventing data spills. Its benefits include improved compliance, reduced risk, real time protection, and enhanced visibility. Organizations are empowered to securely and efficiently adopt AI.","The AI System outputs risk alerts, compliance reports, and audit logs. It predicts threats, recommends policy adjustment, and semi-autonomously enforces guardrails. It secures data and AI usage via blocking, masking, and context-aware decisions.",
DHS,AI for Autonomous Situational Awareness,over_unspecified,CBP,1,0,computer_vision,,Unspecified,retired,,,,,,,,autonomous
DHS,AI-Assisted Resume Screening Tool,under_declared,ICE,0,0,general_llm,Generative AI,Generative AI,deployed,2026-01-01 00:00:00,,,AIS,This use case intends to solve the problem of human bias during resume reviews and the time-intensive process of reviewing candidate resumes.,"This solution applies the same review criteria to every candidate’s resume. This reduces human cognitive bias and variability in how HR specialists evaluate candidate resumes. Additionally, this solution speeds up the time-to-hire by reducing the amount of time spent conducting manual candidate resume reviews.","The evaluation model compares each resume against the associated job requirements and provides a numerical score, a scoring group (red, yellow, green, or blue), related experience, and missing experience. The scoring group categorizes candidates based on the percentage of matching experience, with red indicating a weak candidate, yellow indicating moderate alignment, green indicating a strong candidate, and blue indicating that the system was unable to score the resume due to issues such as missing documents.",
DHS,API Security Vulnerability Technology,over_contradict,CBP,1,0,classical_ml,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,pre_deployment,,Custom In-House AI,,,"Discover, ingest, and analyze APIs to create and run thousands of custom attack scenarios against every build prior to production. Catch security vulnerabilities as early in the software development life cycle (SDLC) as possible. Educate and empower security and dev teams on sound API security strategies.","With the necessity of leveraging application programing interfaces (APIs) for applications across the enterprise, this AI technology is intended to run thousands of custom attack scenarios against APIs on a continuous basis. This will help to identify potential security vulnerabilities prior to production level deployments, and enable the enterprise to develop essential remediations, if required.  Additionally, the techonlogy is intended to provide continuous monitoring on APIs to provide real-time alerts on new potential vulnerabilities.","The AI system is intended to output custom reports on identified vulnerabilities within application programing interfaces (APIs). These reports will Include the identified risk and a summary of the risk, as well as tailored remediation guidance based on the applications, environment, data, and tests conducted for end-users.",
DHS,Acoustic Signature AI for Gunshot Detection,over_contradict,CBP,1,0,classical_ml,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,pilot,2025-09-08 00:00:00,,,Invariant Corporation,The AI will be used to make confidence determinations between non gunshot acoustic activity and actual gunshot activity to reduce false alerts to agents monitoring the User Interface.,"Gunshot and UAS detection notifications can be used by Agents for enhanced situational awareness in their area of operations. By utilizing this AI learning technology, they will have high confidence of alerts of a detection, with the specific type, as well as a pinpointed GPS location within 3-meters.","Agents will get a real time notification via text with a link to the location on maps as well as a link to an audio clip recording of the event. With Agent confirmation that the event was correctly identified, the AI utilizes all of the information for future cases. This real time notification grants Agents the ability to know what is happening right now and anticipate what might happen next in their environment.  Increasing agent and officer safety in the geographic region.",agent
DHS,Automated Item of Interest Detection,over_contradict,CBP,1,0,computer_vision,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,deployed,2020-01-31 00:00:00,,I4 Viewer,Matroid,"The software is designed to analyze photographs and video feeds captured by field imaging equipment for review by U.S. Border Patrol (USBP) agents and personnel. Using proprietary software, the system processes and annotates images to identify whether they contain human subjects, animals, or vehicles. The system is designed to incorporate future enhancements that expand its detection capabilities and to improve accuracy based on user feedback.","The software analyzes images and video that are taken by operationally deployed equipment, which are then fed into CBP systems for review by USBP agents, Office of Field Operations (OFO) officers, and other CBP users. It provides quick identification of people either crossing into the U.S. at a time and place other than designated for entry, circumventing security at a port of entry, or those already inside the U.S. trying to elude capture, as well as the ability for human operators to quickly determine if subjects in an image are, in fact, human.",The system creates a layer which is overlaid over the image to produce a box around items of interest it has determined to be likely human beings.,agent
DHS,Autonomous Surveillance Tower,over_contradict,CBP,1,0,computer_vision,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,deployed,2020-01-01 00:00:00,,Autonomous Surveillance Towers,Anduril,"CBP's limited manpower constrains its ability to manually monitor all areas of the border at all times. To account for this limitation, surveillance and sensor systems assist in monitoring the border.","AST machine learning assisted system is augmenting the U.S. Border Patrol by enhancing the capabiltiies of individual users when carrying out the domain awareness mission. 
The expected benefit is to have ability of single person to monitor magnitude greater area than could be done with conventional CCTV or human surveillance. The ultimate outcome for the agency and the public is greater availability of the agents to solve and address more complex tasks and allow for better strategic/tactical deployment of existing resources and personnel.","The AI provides alerts when it detects the presence of an IoI (i.e., persons, vehicles, animals) in the image frame.  With regard to persons, this computer vision application is trained to determine if the object in the image frame is a person with a certain of level of confidence and not another object that may be shaped similarly to a person.  After the alert of a detection, a trained agent or user, reviews the image to identify and classify the activity taking place.  The AI merely alerts to the presence of an item it was trained to detect. This is not a biometric system and does not identify or track specific individuals.",agent; autonomous
DHS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check,over_contradict,USCIS,1,0,general_llm,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,deployed,2024-01-01 00:00:00,,Biometrics Enrollment Tool,Pluribus Digital,"This effort aims to maximize the number of successful FBI submissions while minimizing the number of fingerprint recaptures necessary. The output is a Numerical Fingerprint Quality score, which is compared against fingerprint quality thresholds (per finger and per set of fingerprints) to align with FBI specifications.","BET assists in determining if the fingerprint taken is good enough quality to pass the FBI fingerprint check process. It provides immediate feedback when a set of prints is likely to be rejected by the FBI by incorporating machine learning models into the BET application. The FBI will not disclose their quality grading criteria for fingerprints, leaving BET with the responsibility of determining quality to prevent unnecessary secondary encounters with applicants.","Numerical Fingerprint Quality score, which is compared against  fingerprint quality thresholds (per finger and per set of fingerprints) to align with FBI specifications",llm
