agency,use_case_name,verdict,confidence,reasoning
HHS,1CDP (SEDRIC) AIP for Advanced Foodborne Outbreak Investigation (AI Summarization and Receipt Reading),system_integrated,medium,"Palantir AIP/SEDRIC extracts structured data from receipts and shopper cards and provides a human-in-the-loop opportunity to review and update data entry points feeding the platform, plus generates dashboards from that data."
HHS,ABE (AI-driven. Beneficial. Efficient.),workflow_embedded,medium,A custom Knowledge Base (RAG-style) centralizing HIV program info to summarize/analyze/create resources for one knowledge domain; no write-back or cross-system integration described.
HHS,AHRQ Search,system_integrated,medium,"Live ranking, synonym, auto-tag, and spelling-correction ML runs inside ahrq.gov's production search, informed by ongoing Google Analytics data."
HHS,AI Agent Orchestrator POC,agentic_workflow,medium,"Explicitly orchestrates multi-step analytical workflows by calling external data science notebooks and tools 'in the correct sequence' via natural language, matching the tool-calling-orchestrator definition."
HHS,AI Audit Resolution Assistant (AIARA),system_integrated,high,"RPA (UiPath/IRMS) on a fixed sequence extracts data from the Federal Audit Clearinghouse and auto-generates audit letters/reports -- scripted automation, not autonomous planning, per audit correction."
HHS,AI Code Assistance  WETG GitHub CoPilot Proof-of-Concept,standalone_chat,high,GitHub Copilot used directly for coding assistance with no described process coupling.
HHS,AI Editing Tool,workflow_embedded,medium,Runs at one specific step: comparing FDA draft documents against the CDER Style Guide to flag formatting issues for editor review.
HHS,AI Harvest Service,system_integrated,medium,"Normalizes and tags metadata that is written into HHS Data Hub asset records and surfaced on HealthData.gov, a live public catalog."
HHS,AI Language Translation Support in Smartling,standalone_chat,low,Thin filing describing an AI translation-suggestion feature used directly within Smartling; no process coupling described beyond the named tool.
HHS,AI Workspace,standalone_chat,medium,"A hosted dev environment giving CMS staff direct access to LLM tooling for early-stage exploration, not tied to a specific process."
HHS,AI for Assessing Bioanalytical Study Conduct Alignment with Guidance and Method SOPs,workflow_embedded,medium,"Elsa cross-compares bioanalytical study data against M10 guidance/SOPs in one review flow; FDA staff verify all outputs, no system-of-record write-back described."
