agency,bureau_component,query,top_url,found_useful,conclusion
TVA,Enterprise Analytics & Innovation,"""TVA Enterprise Analytics & Innovation"" Tennessee Valley Authority organization",https://www.utilityanalyticsweek.com/uaweek/speaker/375954/tanya-mathur,yes,Confirmed Enterprise Analytics is a TVA-wide org with a manager (Tanya Mathur) and Data & Analytics CoE.
TVA,Generation Projects & Fleet Services,"""TVA Generation Projects & Fleet Services"" Power Operations",https://www.linkedin.com/in/bert-robinson-b0a5ab53/,yes,Confirmed division within Power Operations led by an SVP (Bryan Williams).
TVA,Power Operations,"Tennessee Valley Authority organization chart Power Operations Transmission River Management",https://en.wikipedia.org/wiki/Tennessee_Valley_Authority,partial,Confirmed major functional areas; no detailed org chart returned.
TVA,Innovation & Research,"""TVA Innovation & Research"" Tennessee Valley Authority Thinklabs lab",https://www.tva.com/energy/technology-innovation,yes,Confirmed Technology Innovation/R&D function with EPRI/DOE/national-lab partners.
TVA,Riverfleet Management Services,"""TVA Riverfleet Management Services"" Tennessee Valley Authority river operations",https://www.tva.com/Environment/Managing-the-River,partial,No direct hit on 'Riverfleet'; confirmed River Management as core function. Best inferred as combined River + hydro fleet support.
TVA,Supply Chain,"TVA Tennessee Valley Authority Supply Chain Workforce Development Economic Development group",https://www.tva.com/information/supplier-connections/contact-us,yes,Confirmed Supply Chain is a distinct division (Chattanooga); ED is SVP-led (Nashville); Workforce Development sits within ED programs.
TVA,Office of General Counsel,"""TVA Office of General Counsel"" External Communications organization",https://www.tva.com/about-tva/our-leadership/board-of-directors/governance,yes,Confirmed EVP/General Counsel (Rebecca Tolene) and External Communications director.
TVA,Monitoring Diagnostics Management,"""TVA Monitoring & Diagnostics"" Right of Way transmission",https://www.aveva.com/en/perspectives/presentations/2025/tennessee-valley-authority--building-a-digital-core-for-operational-technology-data-in-power-generation/,partial,No direct hit; M&D is industry-standard utility function for asset health monitoring (consistent with TVA AVEVA digital-core presentation).
TVA,Nuclear,"TVA Nuclear Power Operations Chief Generation Officer fleet",https://en.wikipedia.org/wiki/Tennessee_Valley_Authority,yes,Confirmed Chief Nuclear Officer; 7 reactors at Watts Bar/Sequoyah/Browns Ferry.
TVA,Power Operations,"TVA Chief Operating Officer Don Moul Power Operations 2024",https://tvawcm.com/newsroom/press-releases/don-moul-named-tva-chief-operating-officer,yes,Confirmed COO scope: Safety; Transmission and Power Supply; Coal/Gas/Hydro Generation; Integrated River Management; Natural Resources; Environment; Supply Chain; Major Projects; Facilities Mgmt; TVA Police; Enterprise Improvement.
NCUA,N/A,"NCUA Office Examination & Insurance Office of Innovation CIO division AI use case",https://ncua.gov/ai/ncua-artificial-intelligence-compliance-plan,yes,Confirmed Office of Business Innovation manages AI inventory; E&I Director also active. Bureau column 'N/A' is uninformative regardless.
EPA,Region 8,"EPA Region 1 Region 8 Office of Administrator AO regions",https://www.epa.gov/aboutepa/organization-epas-region-8-office-denver,yes,Confirmed R1 (Boston) and R8 (Denver) regional offices; AO is canonical abbreviation for Office of the Administrator.
TVA,GIS,"TVA GIS Workforce Development Riverfleet group division",https://giswebtech.com/blog-introducing-the-new-tvasites.php,partial,Confirmed TVA uses GIS for ED site selection; no formal 'GIS' org page found, but office-level GIS function clearly exists.
TVA,Enterprise Planning,"TVA Tennessee Valley Authority Enterprise Planning Safety & Shared Services group SVP",https://theorg.com/org/tennessee-valley-authority,partial,Did not return clean exec list. Inferred Enterprise Planning and Safety & Shared Services are corporate-level groups.
CFTC,DOD,"CFTC DOD DCR MPD division Commodity Futures Trading Commission",https://www.cftc.gov/About/CFTCOrganization/index.htm,yes,Confirmed DOD = Division of Data, DCR = Division of Clearing & Risk, MPD = Market Participants Division.
CFTC,DOD,"CFTC Division of Data DOD formed organization",https://www.cftc.gov/About/CFTCOrganization/DOD,yes,Confirmed DOD mission: enterprise data strategy and governance.
FTC,BE/BC/OCIO,"FTC BE BCP BC OGC OCIO bureau acronyms",https://www.ftc.gov/about-ftc/bureaus-offices,yes,Confirmed BE = Bureau of Economics; OGC = Office of General Counsel; BC/BCP existing in seed.
FTC,OCIO,"FTC Office of the Chief Information Officer OCIO",https://www.ftc.gov/about-ftc/bureaus-offices/office-executive-director/office-chief-information-officer,yes,Confirmed OCIO under Office of the Executive Director. Already in seed.
