id,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,topic_area,lineage_status
34225,DHS,ICE,Machine Learning Translation Technology Initiative,"The solution will be used to facilitate non-critical communications only. When deployed to production, the solution should not be used alone, absent human quality control, when materials are vital to an individual’s rights or benefits, or when the source materials contain non-literal language (e.g., slang, metaphor), lack clear grammar or structure, contain abbreviations or acronyms, or are overly complex, technical, or wordy. If any interactions indicate the presence of legal or medical issues or a need for greater accuracy, ERO personnel are required to seek additional language assistance via bilingual staff or a professional language line. The solution was first spearheaded by U.S. Coast Guard for maritime usage with the support of DHS Science and Technology Directorate through the Silicon Valley Innovation Program (SVIP). ICE ERO received FY22 funding to initiate the proof of concept with the vendors vetted by USCG and DHS S&T through an interagency agreement. Solutions, in the form of mobile phone applications, are being developed under research and development phases and projected to completely meet ERO’s requirements by January 2026.","The Machine Learning Translation Technology Initiative will offer real-time communication/translation services to assist personnel in providing meaningful access to programs and services for limited English proficient (LEP) noncitizens. AI will be used to provide voice to text, text to voice, and voice to voice translations in at least 21 languages.",None of the above.,Developed with contracting resources.,Acquisition and/or Development,Law & Justice,renamed
34253,DHS,OHS,One Health Threat Detection and Risk Assessment Platform (OH-TREADS) / Planner,"Visuals will be created using a broad variety of data pulled from open-source, public, and non-public sources. AI/ML will make it possible to ingest data from a variety of digital formats, and translate it to usuable information into machine-readable data. The volume of data, and lack of clear data collection standards, requires AI to help merge streams with different data ontologies while facilitating data interoperability with mis-paired data sets. Neither activity is, or can be, practically performed by people. AI/ML will be further used in Planner to generate risk and predictive scores in addtion to displaying relevant information and analyses that help analysts understand health security threats and broadly monitor the health security landscape. AI/ML is meant to provide comprehensive situational awareness for health surveillance and public health response, with target capabilities that: enable global situational awareness of current and potential health risks from a One Health perspective; assist in early warning of health threats by location, facility, and species; aid in rapid identification of health threats at population, facility, and greater geographic resolution; and support data-driven decision making to prevent, mitigate, and respond to health threats.","The main AI system outputs will be anomaly detection following the translation of information into a structured, machine-readable datasets. AI/ML is then used for risk identification and disease prediction that are overlayed on a map and displayed with other wholistic visuals. The visuals and analytics can then be combined with critical infrastructure locations, resources, or capabilities (feeral, state, local, tribal, and territorial) to aid response and decision making.",None of the above.,,Initiated,Health & Medical,continued
34257,DHS,MGMT,Text Analytics for Survey Responses (TASR),"The intended purpose of the AI is to perform topic modeling,  sentiment analysis, or other text classification tasks on responses provided to internal staff DHS Pulse Survey questions.

Text Analytics for Survey Responses (TASR) is an application for performing Natural Language Processing (NLP) and text analytics on survey responses. It is currently being applied by DHS Office of the Chief Human Capital Officer (OCHCO) to analyze and extract significant topics/themes from unstructured text responses to open-ended questions in the quarterly DHS Pulse Surveys. Results of extracted topics/themes are provided to DHS Leadership to better inform agency-wide efforts to meet employees’ basic needs and improve job satisfaction","The systems outputs include a set of topics inferred or surfaced from the raw text comment data, as well as sentiments or other classifications inferred from the data.",None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling,continued
34315,DOC,CENSUS - U.S. Census Bureau,Real Time Classification for the Economic Census,"Two ML models (BEACON and SINCT) are applied in this Economic Census use case to perform real-time classification of Primary Business Activity (PBA), or NAICS, and Products, or NAPCS. For instance, in the 2017 Economic Census, if respondents could not identify their NAICS or NAPCS codes, they were able to provide a short, open-ended description of their business and the products and services they offer, referred to as “write-ins”. There were nearly 400,000 NAICS write-ins and 1,000,000 NAPCS write-ins, out of 3 million and 18 million total reported NAICS and NAPCS codes, respectively. While the number of write-ins is a small share of the total number of reported NAICS and NAPCS codes, these write-ins were previously assigned to a valid code by analysts using manual processes. BEACON and SINCT were developed to improve classification accuracy and reduce processing time and costs by providing real-time feedback to respondents given the business description they provide. In the 2022 Economic Census, as a result of BEACON and SINCT, NAICS and NAPCS write-ins were reduced by 58% and 78% to 168,000 and 220,000 write-ins, respectively.","For PBA code reporting, the respondent has an initial set of NAICS codes to choose from.  If the respondent selects ""Other"" with a write-in, an API call to BEACON returns predictive results from the model with a ranked list of predicted NAICS options from which to select.  For Products, if the respondent selects to ""Add products"", an API call to SINCT provides predictive results of products to add. In both cases, the ML model recommends codes based on scoring attributes, and the respondent is able to choose a relevant NAICS or NAPCS code from those results.",None of the above.,,Retired,Other,continued
34353,DOC,NOAA - National Oceanic and Atmospheric Administration,CyberSecurity Hardening & Automation,"Promptly analyze cybersecurity architecture, documentation, inventories, and vulnerabilities for remediation, automation opportunities, continuous monitoring, responding to data calls, and architectural risk assessments (e.g. Security Impact Analyses [SIAs]).","Risk Assessment, documentation generation, responses to data calls",None of the above.,Developed in-house.,Initiated,Other,retired_2024
34431,DOE,NREL - National Renewable Energy Laboratory (EE),AskGDR,Making data more accessible and user-friendly for the public.,The systems leverages Retrieval-Augmented Generation to find semantically relevent content which the AI (LLM) summarizes for the end user as a method to describe relevent content within the data catalog.,Collaborating in real-time using AI-assisted tools in word processors.,Developed in-house.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34432,DOE,PA HQ -  Office of Public Affairs (PA),Topic Modeling for Energy.gov,"Minimize time spent through manual effort of reading and tagging 100,000 Energy.gov webpages.",A list of five tags that best categorize an Energy.gov webpage.,None of the above.,Developed with contracting resources.,Acquisition and/or Development,Mission-Enabling (internal agency support),continued
34600,DOI,USGS,Annual National Land Cover Database Deep Learning,Using geospatial artificial intelligence methods to map annual land cover and other land surface characteristics for the Nation.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling,retired_2024
34668,DOL,OCIO,Facebook Mobile App,"AI is not the primary technology of the use case and is not necessary for the use case, but rather a feature within the application that cannot be turned off. The application use case is for PR needs and external communication to the public coming from the Department.","MetaAI offer search and chatbot assistance with the Facebook application. Ask Meta AI to search topics that matter to you, and get instant results more interactive than just text.",Curating news articles and updates based on user preferences using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34704,EPA,Office of Mission Support,Agency Records Management System (ARMS),"purpose: to improve accuracy of Records schedule prediction
expected benefit: reduce administrative burden on EPA staff",the machine learning model predicts records schedules,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling,renamed
