parent_agency,sub_agency_slug,sub_agency_name,sub_agency_abbr,level,subtree_use_cases,rating,key_systems,scope_or_users,confidence,key_evidence,notes
DHS,dhs-cbp,U.S. Customs and Border Protection,CBP,sub_agency,83,Moderate,ATAP (Advanced Trade Analytics Platform) | Palantir CMA (via DHS BPA),Trade & targeting analysts,medium,db_row_7538 (ATAP AWS GovCloud); siliconangle DHS-Palantir BPA,ATAP confirmed in DB on aws_govcloud; CBP also covered by DHS-wide Palantir CMA
DHS,dhs-ice,U.S. Immigration and Customs Enforcement,ICE,sub_agency,51,Strong,Palantir Federal Cloud Service / AIP | Case Management & Analytics (CMA),Investigations / case-management staff,high,3 env-tagged rows: PFCS + CMA (FedRAMP High/IL5),Foundation named_tools confirms Palantir AIP; named CMA is the core ICE operational analytic platform
DHS,dhs-tsa,Transportation Security Administration,TSA,sub_agency,26,Limited,—,n/a,low,foundation pack: only Microsoft Teams; no env-tagged rows,No analytic platform surfaced; vendor list is detection/identity tooling not analyst environments
DHS,dhs-uscis,U.S. Citizenship and Immigration Services,USCIS,sub_agency,24,Moderate,AWS Bedrock (Claude) | ELIS,USCIS adjudication/IT staff,medium,db env-row: USCIS ELIS on aws_govcloud with Claude/Anthropic,Bedrock-on-Anthropic deployment exists; not yet a broadly-used analyst sandbox
DHS,dhs-fema,Federal Emergency Management Agency,FEMA,sub_agency,22,Strong,Mosaic (Databricks workspace),FEMA mitigation/grants analysts,high,db env-row: Mosaic-authorized Databricks workspace inheriting Mosaic ATO; govconwire DHS Databricks BPA,Foundation named_tools includes Databricks; Mosaic is the named CUI analytic platform
DHS,dhs-mgmt,Management Directorate,MGMT,office,10,Limited,—,n/a,low,foundation pack: LIGER + Microsoft Defender; no analytic env,No analyst data-platform; named tools are management/security
DHS,dhs-cisa,Cybersecurity and Infrastructure Security Agency,CISA,sub_agency,7,Limited,—,CISA cyber analysts (likely on parent stacks),low,foundation pack: 0 named tools; 0 env rows,No platform surfaced; CISA likely uses Splunk/Palantir at parent level but not in inventory
DOC,doc-noaa,National Oceanic and Atmospheric Administration,NOAA,sub_agency,157,Moderate,NOAA Big Data Program (AWS+Azure+GCP) | NCAI emerging,NOAA scientists across line offices,medium,by_agency.md NOAA BDP; noaa.gov NCAI page,Despite 157 use cases no env-tagged rows in subtree; scale and scientific workload imply real platforms not surfaced in inventory format
DOC,doc-census,U.S. Census Bureau,Census,sub_agency,17,Limited,—,Census IT/data scientists,low,foundation pack: 0 named tools; CenTAM modernization in flight per by_agency.md,No platform surfaced in inventory; FSRDCs is SAS/Stata not LLM/ML
DOC,doc-uspto,U.S. Patent and Trademark Office,USPTO,sub_agency,15,Limited,—,USPTO examiners (use Claude in chat),low,foundation pack: Claude + ServiceNow Now Assist,Claude usage is chat-based; no analytic platform surfaced; one targeted web search returned nothing useful
DOC,doc-ita,International Trade Administration,ITA,sub_agency,9,Limited,—,n/a,low,foundation: ChatGPT+Claude only; by_agency notes ITA used AWS NLP previously,No current named analytic platform
DOC,doc-ntia,National Telecommunications and Information Administration,NTIA,sub_agency,8,None reported,—,n/a,low,foundation: 0 named tools; 0 env rows,Nothing in inventory
DOC,doc-nist,National Institute of Standards and Technology,NIST,sub_agency,7,Moderate,NIST research HPC cluster,NIST researchers,medium,db_row_7835 (NIST HPC) per by_agency.md,HPC environment exists but inventory has only 7 rows in subtree; under-reported
DOE,doe-lanl,Los Alamos National Laboratory,LANL,sub_agency,43,Strong,LANL HPC (Venado, Mission, Vision) | AWS GovCloud portal,LANL researchers/weapons program,high
DOE,doe-pnnl,Pacific Northwest National Laboratory,PNNL,sub_agency,40,Strong,Databricks (R&D User) | PNNL HPC,PNNL R&D researchers,high,db env-row: PNNL Databricks on aws_govcloud,Foundation named_tools confirms Databricks; named explicitly in by_agency.md as DOE Strong example
DOE,doe-inl,Idaho National Laboratory,INL,sub_agency,39,Strong,INL HPC OpenAI-compatible API (api.hpc.inl.gov) | on-prem HPC,INL researchers,high,db env-row: api.hpc.inl.gov on_prem with OpenAI API,Internal LLM-on-HPC service is unusually mature; explicit named system
DOE,doe-bnl,Brookhaven National Laboratory,BNL,sub_agency,34,Moderate,On-prem HPC (HEP/cosmic frontier ML),BNL physics researchers,medium,db env-rows: 2 on_prem rows; problem statements describe HPC-AI for HEP,Real HPC use but not a generic analyst sandbox; mission/science specific
DOE,doe-srs,Savannah River Site,SRS,sub_agency,27,Limited,—,n/a,low,foundation: only Tabnine (coding); 0 env rows,No analytic platform surfaced; SRS is operationally focused
DOE,doe-ornl,Oak Ridge National Laboratory,ORNL,sub_agency,25,Strong,Frontier (exascale HPC) | OLCF,ORNL/OLCF researchers nationally,high,by_agency.md ORNL Frontier; widely public,Inventory subtree env_count=0 but Frontier is the largest exascale HPC in the federal portfolio; treating as Strong on public knowledge
DOE,doe-fnal,Fermi National Accelerator Laboratory,FNAL,sub_agency,17,Moderate,On-prem scientific computing,Fermilab researchers,low,foundation: Custom In-House AI; by_agency.md does not single out FNAL,HEP computing scale is real but inventory rows are thin
DOE,doe-netl,National Energy Technology Laboratory,NETL,sub_agency,15,Moderate,NETL on-prem HPC,NETL energy R&D staff,medium,db env-row: 1 on_prem row,Named on-prem env in inventory; small scale
DOE,doe-em,Office of Environmental Management,EM,sub_agency,11,Limited,—,n/a,low,foundation: Azure OpenAI + GitHub Copilot only,Chat/coding not analytic; no platform surfaced
DOE,doe-llnl,Lawrence Livermore National Laboratory,LLNL,sub_agency,9,Strong,LLNL HPC | AWS GovCloud,LLNL researchers (incl. classified),high,db env-row: LLNL AWS GovCloud Multiple/AWS; by_agency.md LLNL,Public knowledge of LLNL ASC-class HPC; even thin inventory rows include AWS GovCloud ATO
DOE,doe-nr,Naval Reactors,NR,sub_agency,8,Limited,—,n/a,low,foundation: ServiceNow + M365 Copilot only,No analytic platform; mission is reactor engineering
DOE,doe-ee,Office of Energy Efficiency and Renewable Energy,EE,sub_agency,8,Limited,—,n/a,low,foundation: 0 named tools,No platform surfaced (NREL is separate row)
DOE,doe-slac,SLAC National Accelerator Laboratory,SLAC,sub_agency,7,Moderate,SLAC HPC / scientific computing,SLAC physicists,low,foundation: Splunk/Crowdstrike/ServiceNow/Copilot,SLAC undeniably has scientific computing infra; inventory rows don't surface it; conservatively Moderate
DOE,doe-nrel,National Renewable Energy Laboratory,NREL,sub_agency,7,Strong,Stratus (AWS) | NREL Azure System,NREL energy researchers,high,db env-row: NREL Stratus + NREL Azure System on on_prem_plus_azure; by_agency.md NREL,Named system + named systems with on-prem+Azure ATO context
DOE,doe-anl,Argonne National Laboratory,ANL,sub_agency,5,Strong,Argonne ALCF (Aurora exascale),ALCF researchers nationally,medium,by_agency.md ANL ALCF; widely public,"Inventory subtree only 5 rows but ALCF Aurora is exascale-class; like ORNL, inventory undercounts"
DOE,doe-lm,Office of Legacy Management,LM,sub_agency,5,Limited,LMGSS (Gemini),LM staff,medium,db env-row: LMGSS gcp_assured_workloads with Gemini,Single small Gemini deployment; not an analyst data platform
DOE,doe-nnsa,National Nuclear Security Administration,NNSA,sub_agency,5,Strong,Decision and Analytics Platform (DNA-P) (Palantir Foundry),NNSA mission users,high,db env-rows: 2 DNA-P rows on fedramp_high_il5; energy.gov,Strong despite low subtree count: explicit named Foundry deployment with FedRAMP High/IL5 ATO
DOI,doi-usgs,U.S. Geological Survey,USGS,sub_agency,187,Strong,Vertex AI Document Workbench | Azure OpenAI,USGS bureau-wide / Energy Resources Program,high,db env-rows: 2 USGS rows (gcp_assured_workloads + azure_gov); by_agency.md USGS,Two distinct cloud analytic environments tagged; large subtree (187 rows); foundation tools list confirms ChatGPT + ArcGIS AI
DOI,doi-fws,U.S. Fish and Wildlife Service,FWS,sub_agency,11,Limited,—,n/a,low,foundation: 0 named tools; 0 env rows,No platform surfaced
DOI,doi-bor,Bureau of Reclamation,BOR,sub_agency,8,Limited,—,n/a,low,foundation: minimal; 0 env rows,No platform surfaced
DOI,doi-blm,Bureau of Land Management,BLM,sub_agency,7,Limited,—,n/a,low,foundation: 0 named tools,No platform surfaced
