ID,AI Use Case Name,Summary of Use Case,Stage of Development,AI Technique
1,Audio Transcription,Automatic transcription of meeting comments by participants.,In Production,"Cloud based commercial-off-the-shelf pre-trained Natural Language Processing (NLP) models."
2,Threat Detection,"Using machine learning to improve threat detection and reduce false positives.",In Production,"Detects malware using a machine learning model which uses static analysis and predictive analytics."
3,Threat Detection (Cloud-based),"Cloud-based threat detection engine uses machine learning and artificial intelligence to detect when a device is operating outside of its normal known good baseline.",In Production,"Search based machine learning and AI to detect when a device is operating outside of its normal known good baseline."
4,Spelling grammar and plagiarism check,Checks grammar and spelling automatically.,In Production,Cloud based commercial-off-the-shelf.
5,Internet Browser,"Chat, Compose, Read Aloud, Insights features available in browser environment.",In Production,Cloud based commercial-off-the-shelf.
6,Machine Learning (IT Ops),"Built-in machine learning features offer insights and automate data-driven operations including predicting/estimating capacity utilization and autoscaling, locating and evaluating application performance issues, and spotting anomalous behaviors.",Being evaluated,Built-In Monitor machine learning.
7,Cognitive Services search engine (GPO Intranet site),The intranet website search engine is powered by AI cognitive feature.,In Production,Cognitive search engine.
8,DevOps,"The ability to create dedicated Artificial Intelligence (AI) projects using the DevOps toolset.",In Production,"Provides AI project using the DevOps toolset to establish appropriate AI use cases and stories."
9,PII Scanning,Scans data for personally identifiable information.,In Production,"Named-entity recognition model to organize unstructured text into defined categories."
10,Document Summarization and Text to Podcast Conversion,"GPO employs this AI tool to summarize large documents and answer questions about their content. The tool is also used to convert policies into audio (podcast-style) to assist visually impaired individuals.",Currently being piloted,"Cloud-based commercial off-the-shelf, preconfigured Large Language Model (LLM)."
