agency,use_case_name,verdict,final_ai_sophistication,confidence,reasoning
DOE,ORNL: AI for Experimental Facilities Operations,keep,agentic,low,"OMB self-classifies ""Agentic AI"" for autonomous experimental-facility operations; narrative is too thin (""accelerate scientific discovery"") to contradict, so leaning on the agency classification per decision rule."
DOE,ORNL: AI for the Smart Laboratory,keep,agentic,low,"OMB self-classifies ""Agentic AI"" for the ORNL smart-laboratory (self-driving lab) effort; narrative is too thin to contradict the agency claim."
DOE,AI Incubator Sandbox,keep,agentic,low,"OMB says ""Agentic AI""; narrative describes a ""secure, multimodal AI chatbot sandbox for experimentation"" - a lab sandbox plausibly hosting agent experiments, but the chatbot-only language keeps confidence low."
DOE,Microsoft Power Platform capability that provides AI to automate processes in Power Apps and Power Automate,reclassify,general_llm,medium,"OMB says ""Generative AI"" and the narrative is workflow automation in Power Apps/Power Automate (""automate routine tasks such as data entry, reporting"") - RPA-style automation with gen-AI assistance, no model-driven multi-step planning."
DOE,ServiceNow Virtual Agent,reclassify,nlp_specific,high,"ServiceNow Virtual Agent chatbot to ""resolve issues or open service requests"" - intent-based NLU chatbot; OMB itself says ""Natural Language Processing""."
DOE,ServiceNow Virtual Agent Natural Language Understanding,reclassify,nlp_specific,high,"Narrative states the NLU ""is only used to understand the users intent and entity, where it then performs a search of the service catalog"" - single-step intent matching, not agentic."
DOE,ACORN (Autonomous Operation for Reactor Technologies),reclassify,classical_ml,high,"Classical autonomous control: ""solves for optimal control actions ... executes actions and observes system responses"" for reactor operation; OMB classifies as Classical/Predictive ML - a control loop, not an LLM agent."
DOE,CrewAI,keep,agentic,high,"CrewAI is a multi-agent orchestration framework; narrative: ""Automate and orchestrate workflows across LLMs and cloud platforms""; OMB says ""Agentic AI""."
DOE,AI-Assisted Strategies and Solutions for Environmental Technology (AI-ASSET),reclassify,predictive_analytics,low,"Despite OMB ""Agentic AI"", the narrative describes a ""generalized AIML contaminant forecasting framework"" and knowledge-graph outputs - ML forecasting and knowledge management with no LLM agent orchestration described."
DOE,Objective-Driven Data Reduction for Scientific Workflows,reclassify,classical_ml,high,"""Theories and algorithms for objective-driven reduction of scientific data"" - data-reduction algorithms in workflows; OMB says Classical/Predictive ML."
DOE,"Autonomous, real-time guiding of BCP film synthesis",reclassify,classical_ml,high,"""AI/ML methods for autonomous on-the-fly control of the deposition and processing"" of polymer films - autonomous experiment control (classical autonomy); OMB says Classical/Predictive ML."
DOE,ServiceNow Cluster Analysis,reclassify,classical_ml,high,"Ticket ""Cluster Analysis"" to ""identify patterns of tickets"" - unsupervised ML on helpdesk data; OMB says Classical/Predictive ML."
DOE,Knowledge Capture Agent (KCA),reclassify,general_llm,medium,"""Capturing tenured employees experience based knowledge"" into ""a database that can later be queried"" - gen-AI knowledge capture/RAG, no multi-step tool use despite ""Agent"" in the name; OMB says Generative AI."
DOE,AI Support Agent Chatbot,reclassify,general_llm,high,"Outputs are ""conversational responses, step-by-step guidance, and links to support documentation"" - a Q&A chatbot, not a tool-using multi-step agent; OMB says Generative AI."
DOE,ServiceNow Similarity Analysis,reclassify,classical_ml,high,"ServiceNow ""Similarity Analysis"" to ""identify patterns of tickets"" - classical ML similarity scoring; OMB says Classical/Predictive ML."
DOE,Microsoft Discovery,keep,agentic,medium,"Microsoft Discovery is an agentic R&D platform: ""Speed up transparent, governed R&D discovery with AI agents and graph knowledge engines"" - explicit agent orchestration even though OMB filed it as Generative AI."
DOE,ServiceNow Now Assist,keep,agentic,high,"""Provide Agentic AI capabilities for use in multiple use cases"" via ServiceNow Now Assist (agentic-workflow product); OMB says ""Agentic AI""."
DOE,Machine Learning for Autonomous Control of Scientific User Facilities,reclassify,classical_ml,high,"ML trained on ""5+ years of archived device-data"" to interpret accelerator data and connect fault causes - classical/predictive ML for facility operations; OMB agrees (Classical/Predictive ML)."
DOE,PermitAI,keep,agentic,low,"OMB self-classifies ""Agentic AI"" for the PermitAI pilot; narrative (""AI-powered environmental review tools"") is too thin to contradict, so leaning on the agency classification."
DOE,Microsoft AI Builder,reclassify,classical_ml,medium,"Despite OMB ""Agentic AI"", AI Builder outputs are ""extracted information from documents, data predictions, and workflow automations"" - prebuilt ML models plus low-code RPA, no model-driven planning."
DOE,Software Implementation Assistant,reclassify,coding_assistant,medium,"Tabnine-based assistant generating ""project plans, organized tasks, technical documents, use cases, test scripts, and risk assessments"" - gen-AI artifact generation for software implementation, not autonomous multi-step execution, despite OMB ""Agentic AI""."
DOE,Sindri,reclassify,classical_ml,low,"""Automate code assignment at requisition generation time"" with output ""Decision"" - a single-step classification/decision task despite the OMB ""Agentic AI"" label; narrative thin."
DOE,Agentic AI for cybersecurity change request reviews,keep,agentic,high,"""Use AI Agents for cybersecurity review of documents and structured data"", tying ""specific requirement documents with structured data from a database"" - LLM agents over tools/data; OMB says ""Agentic AI""."
DOE,AI-Enabled Tech Desk Agent,keep,agentic,medium,"Piloted ""AI-enabled self-service chat agent"" that lets staff ""resolve tech issues"" - the helpdesk-resolution agent pattern; OMB says ""Agentic AI""."
DOE,AI workflow to process voicemail user service requests and translate them into actionable IT service tickets,reclassify,nlp_specific,high,"Pipeline to ""process voicemail user service requests and translate them into actionable IT service tickets"" - speech/NLP extraction workflow, deterministic routing; OMB says Natural Language Processing."
DOE,Microsoft Copilot Studio,keep,agentic,medium,"Copilot Studio builds ""enterprise conversational AI agents that securely connect to data and workflows"" - agent construction with tool/data connections, though OMB filed it as Generative AI."
NASA,Autoresolver/Tailored Arrival Manager,reclassify,classical_ml,high,"Classical air-traffic automation: ""maintaining separation between aircraft, sequencing and scheduling aircraft"" - deterministic conflict-resolution/scheduling, not an LLM agent, despite OMB ""Agentic AI"". Aerospace autonomy is not agentic AI."
NASA,Distributed Spacecraft Autonomy,reclassify,classical_ml,high,"Spacecraft swarm ""distributed coordination and planning"" using the onboard GPS receiver - classical spacecraft autonomy, no foundation-model agency, despite OMB ""Agentic AI""."
NASA,Deep Learning for Communication-Limited Spacecraft,reclassify,classical_ml,high,"""Deep-learning algorithms"" to ""autonomously and robustly classify scientifically useful data"" onboard - a classification model; OMB says Classical/Predictive ML."
NASA,Enabling Autonomous Differential Drag Control and Attitude Maneuvering Using Onboard Artificial Intelligence (AI) for SmallSat Distributed Space Missions (DSMs),reclassify,classical_ml,high,"""Autonomous navigation & control"" for differential drag and attitude maneuvering - classical onboard control autonomy; OMB says Classical/Predictive ML."
NASA,AEGIS: Autonomous Exploration for Gathering Increased Science,reclassify,computer_vision,high,"AEGIS ""uses computer vision techniques to identify targets (e.g., rocks) in wide angles images"" for rover instrument targeting; OMB says Classical/Predictive ML - CV is the concrete fit."
